,Time (sec),request_completion
0,7.945843736139308,1
1,8.093240020413766,2
2,8.681169241710089,3
3,9.120473975094963,4
4,11.697614161267387,5
5,14.156941024769903,6
6,19.03880782578526,7
7,19.072350180343793,8
8,20.261193535433648,9
9,20.274153816488937,10
10,20.846539814666148,11
11,22.09296237366042,12
12,22.183504119619535,13
13,22.586653068804473,14
14,24.49160755113875,15
15,26.12416949202017,16
16,26.45469281963013,17
17,28.20359452219073,18
18,31.487135854143446,19
19,31.513743260512783,20
20,34.79261447503993,21
21,37.187987929956286,22
22,37.873928365219804,23
23,38.22588162951977,24
24,44.49355625155011,25
25,45.1622242749737,26
26,45.40802021854423,27
27,45.5861919611736,28
28,49.34877468852644,29
29,51.020834849579145,30
30,54.461495322845046,31
31,56.9097058372309,32
32,58.48303616705445,33
33,64.5993010916242,34
34,65.53263021856091,35
35,67.18652422153569,36
36,70.56814431292786,37
37,72.5873311574036,38
38,76.86375107180841,39
39,78.81117033529986,40
40,81.42066025778944,41
41,81.49958688286317,42
42,82.059864251496,43
43,82.7608668668118,44
44,82.92547423462517,45
45,83.34510760171081,46
46,83.54037931317689,47
47,84.06432546887206,48
48,86.05652685304162,49
49,86.720877803322,50
50,87.64624466386498,51
51,87.91013100073849,52
52,88.55440165098302,53
53,94.0455978500583,54
54,96.29573526223251,55
55,98.2343229422509,56
56,98.46226667493536,57
57,101.09773822161623,58
58,101.27329318752058,59
59,102.27618002632893,60
60,108.31358404385583,61
61,110.35509216686906,62
62,111.88133777370668,63
63,114.18215281921098,64
64,118.30922922215456,65
65,121.26215900290778,66
66,121.74125790523819,67
67,121.84701941328966,68
68,122.54393355195201,69
69,122.98456806617361,70
70,123.47371332447763,71
71,129.14444090837756,72
72,133.33966248963415,73
73,134.1240154205513,74
74,136.11825451690885,75
75,137.1296488450054,76
76,142.34726291936144,77
77,143.60059102349774,78
78,144.27346873830467,79
79,144.6784768209406,80
80,146.35292361807484,81
81,146.79759030288488,82
82,148.64771805719565,83
83,153.1499008030106,84
84,154.02842462208397,85
85,154.55538569450465,86
86,160.91471039572104,87
87,162.33728966542034,88
88,162.51150130408573,89
89,162.57565283526284,90
90,162.78248902817845,91
91,164.86915669974886,92
92,167.77681936034432,93
93,168.84714723802057,94
94,168.8757022386567,95
95,169.82710479659113,96
96,175.7537749366498,97
97,177.26005490735074,98
98,183.403105402617,99
99,187.35624740943285,100
100,187.39976851993794,101
101,189.96563729208202,102
102,192.43228953154934,103
103,193.9811067651697,104
104,194.63946634477693,105
105,196.52877569905323,106
106,196.7951338884632,107
107,197.76127446728648,108
108,198.9466807037188,109
109,205.0007373942791,110
110,209.1928666513555,111
111,209.83910149921329,112
112,211.21924469910155,113
113,211.48246519019077,114
114,216.46776045291386,115
115,220.70280173109322,116
116,221.26934871050392,117
117,223.35928929754286,118
118,225.20182835044542,119
119,225.56470424557338,120
120,228.40066944461879,121
121,230.0995118492071,122
122,233.2223966961134,123
123,234.50889138972906,124
124,234.60528831082095,125
125,235.29159612968724,126
126,235.29721744386418,127
127,240.4457701357959,128
