,Time (sec),request_completion
0,7.445125201625172,1
1,7.619737877392014,2
2,8.088373329775115,3
3,8.739582774967658,4
4,11.406803650847188,5
5,13.577641002897215,6
6,18.361764790617112,7
7,18.600494687830203,8
8,19.624520190623443,9
9,19.67895438975154,10
10,20.36390465999775,11
11,21.71605706735686,12
12,21.762824284714323,13
13,22.127707818565018,14
14,23.97851908818947,15
15,25.735269163974806,16
16,25.99555341516512,17
17,27.947528329831915,18
18,30.977376289105564,19
19,30.990416226214098,20
20,34.268347950394975,21
21,36.663927832341905,22
22,37.49571800533887,23
23,37.83369054151341,24
24,43.97611861269919,25
25,44.65442840127558,26
26,44.849093703955496,27
27,45.05253107394676,28
28,48.86442614452953,29
29,50.664937491125066,30
30,53.95639736993558,31
31,56.573078230828116,32
32,58.109803078888454,33
33,64.10980307888853,34
34,65.06115244458688,35
35,66.6672579355603,36
36,70.2041799047313,37
37,72.131572314985,38
38,76.24523193685744,39
39,78.27779709291316,40
40,80.83232734140847,41
41,81.06378344363382,42
42,81.34680396693683,43
43,82.02857013161817,44
44,82.3224258427359,45
45,82.79120757283603,46
46,82.9962849787983,47
47,83.70739043621596,48
48,85.70900229198256,49
49,86.2968461309412,50
50,87.07717051754672,51
51,87.49861761062368,52
52,88.2984579867078,53
53,93.56591974838676,54
54,95.77943107298417,55
55,97.82706687297636,56
56,97.90853944450929,57
57,100.74146915266809,58
58,100.9089352635402,59
59,101.83188849293863,60
60,107.83188849293863,61
61,109.87518965385911,62
62,111.50333379419403,63
63,113.8112513728648,64
64,117.70195714801227,65
65,120.5046025066485,66
66,121.40619844752187,67
67,121.51619781316225,68
68,121.95493209069082,69
69,122.81995310824826,70
70,123.25125048662565,71
71,128.81685173004362,72
72,132.85241501588357,73
73,133.6649598187554,74
74,135.73911395355375,75
75,136.74625761624893,76
76,141.87633205374138,77
77,142.8939733379044,78
78,143.68040969631681,79
79,144.42852523190976,80
80,145.85598853135534,81
81,146.62039539620656,82
82,148.17633438572116,83
83,153.0678934100493,84
84,153.67233940652054,85
85,154.50441960461117,86
86,160.54621892166972,87
87,161.78290952076833,88
88,162.11435010422426,89
89,162.3098842110482,90
90,162.42191039911333,91
91,164.28300914626428,92
92,167.22765829014085,93
93,168.4448779339219,94
94,168.45584539035113,95
95,169.41714733024793,96
96,175.41714733024793,97
97,176.92342730094887,98
98,182.92342730094887,99
99,186.88991762523509,100
100,187.19343044766106,101
101,189.70133013614455,102
102,191.9116641687541,103
103,193.58968261493652,104
104,194.05761704651525,105
105,196.18933281044195,106
106,196.27599107868247,107
107,197.31750903705532,108
108,198.61427917260082,109
109,204.526769834784,110
110,208.69934673755543,111
111,209.70298344307548,112
112,210.69937774707057,113
113,211.41526458270263,114
114,215.96815137825422,115
115,220.36921550653307,116
116,220.7654983509929,117
117,223.0501236389469,118
118,224.68091627766327,119
119,225.1952598783447,120
120,227.88791221224426,121
121,229.539340976046,122
122,232.80082412513875,123
123,233.9667743098876,124
124,234.44247869895602,125
125,235.06405579489706,126
126,235.1420321760101,127
127,240.0826289609524,128
