,Request Id,request_e2e_time_normalized,cdf
25,26,0.010457708884745481,0.0078125
29,29,0.010457708884745481,0.015625
32,32,0.010457708884745481,0.0234375
5,5,0.010457708884746147,0.03125
2,2,0.010457708884746297,0.0390625
35,35,0.010457708884747244,0.046875
62,62,0.010457708884747258,0.0546875
71,71,0.010457708884747258,0.0625
74,74,0.010457708884750783,0.0703125
83,83,0.010457708884750783,0.078125
98,98,0.010457708884750783,0.0859375
118,119,0.010693274414936282,0.09375
59,59,0.010753771986635102,0.1015625
23,23,0.010801115406027906,0.109375
17,17,0.01080303150559131,0.1171875
101,101,0.010809823294616494,0.125
53,53,0.010826472711281981,0.1328125
107,107,0.010838470108792408,0.140625
38,38,0.010840063294615399,0.1484375
116,116,0.01084006329461612,0.15625
80,80,0.010923045442292445,0.1640625
20,20,0.010942635961281054,0.171875
50,50,0.01094836616411049,0.1796875
113,113,0.010989860450490163,0.1875
125,125,0.010997305516770639,0.1953125
95,95,0.011023721471682235,0.203125
77,77,0.011055663794614534,0.2109375
22,22,0.011115184678500922,0.21875
30,30,0.011115184678500922,0.2265625
31,31,0.011115184678500922,0.234375
34,34,0.011115184678500922,0.2421875
33,33,0.011115184678500936,0.25
73,73,0.01111518467850442,0.2578125
84,84,0.01111518467850442,0.265625
85,85,0.01111518467850442,0.2734375
93,93,0.01111518467850442,0.28125
96,96,0.01111518467850442,0.2890625
97,97,0.01111518467850442,0.296875
99,100,0.01111518467850442,0.3046875
109,109,0.01111518467850442,0.3125
111,111,0.01111518467850442,0.3203125
112,112,0.01111518467850442,0.328125
114,114,0.01111518467850442,0.3359375
127,127,0.01111518467850442,0.34375
36,36,0.011115184678504503,0.3515625
37,37,0.011115184678504503,0.359375
60,60,0.011115184678504503,0.3671875
61,61,0.011115184678504503,0.375
63,63,0.011115184678504503,0.3828125
56,56,0.011119014679749378,0.390625
110,110,0.01112511204461264,0.3984375
68,68,0.011138893453832732,0.40625
21,21,0.011141057143193023,0.4140625
122,122,0.011141499544612132,0.421875
120,120,0.011156501527671725,0.4296875
57,57,0.011164991430921617,0.4375
123,124,0.011167086175768115,0.4453125
18,19,0.011173320904015516,0.453125
94,94,0.011179610849109622,0.4609375
75,75,0.011180758853929829,0.46875
82,82,0.011182775353386798,0.4765625
104,104,0.011183830177058374,0.484375
58,58,0.011184819834138743,0.4921875
28,28,0.011186375636353996,0.5
4,4,0.01118686873151127,0.5078125
81,81,0.011194441904328556,0.515625
106,106,0.011202544879686194,0.5234375
108,108,0.011203947730929087,0.53125
69,69,0.011223168546622947,0.5390625
3,3,0.01122541485673304,0.546875
126,126,0.011225942989568582,0.5546875
27,27,0.01122864049955219,0.5625
70,70,0.011229453681720847,0.5703125
90,90,0.011235238889878318,0.578125
86,86,0.011235585211276933,0.5859375
52,52,0.011246208056740259,0.59375
51,51,0.01124746710662236,0.6015625
92,92,0.011258004450535486,0.609375
19,18,0.011271201203946299,0.6171875
65,65,0.01129654121128143,0.625
89,89,0.011369197664126585,0.6328125
117,117,0.01137944781883199,0.640625
100,99,0.011382394174800636,0.6484375
54,54,0.01138239417480294,0.65625
115,115,0.011385635166366148,0.6640625
26,25,0.011391953656699094,0.671875
72,72,0.011395602151660578,0.6796875
1,1,0.011396623026250528,0.6875
55,55,0.011403107459384193,0.6953125
103,103,0.011409066171321924,0.703125
78,78,0.011410242063709664,0.7109375
76,76,0.011415811640050899,0.71875
88,88,0.011417277318035435,0.7265625
66,66,0.011429962624113055,0.734375
24,24,0.011434240272879065,0.7421875
0,0,0.011434648283476914,0.75
15,15,0.011437621876998774,0.7578125
121,121,0.0114406881938664,0.765625
16,16,0.011441569013420312,0.7734375
124,123,0.011441794931422,0.78125
102,102,0.011446553652379066,0.7890625
119,118,0.011446743998477782,0.796875
87,87,0.011447333529778947,0.8046875
91,91,0.011479431128782858,0.8125
105,105,0.011484027785684636,0.8203125
79,79,0.011486112363627288,0.828125
67,67,0.01151643113063297,0.8359375
8,8,0.0115412719274757,0.84375
49,49,0.0116150011207094,0.8515625
13,13,0.011639396000990274,0.859375
10,10,0.011639732530725339,0.8671875
12,12,0.011640666738155229,0.875
14,14,0.011643762110384502,0.8828125
48,48,0.011648020492398992,0.890625
9,9,0.011653554234322086,0.8984375
64,64,0.01167845162520817,0.90625
11,11,0.011678953766324652,0.9140625
39,39,0.011747049910061397,0.921875
7,7,0.011821602447431395,0.9296875
6,6,0.011843574518947839,0.9375
42,42,0.011931675343540005,0.9453125
45,45,0.011985681888679794,0.953125
47,47,0.012025911053579225,0.9609375
43,43,0.012061914979772048,0.96875
46,46,0.012076372068268892,0.9765625
41,41,0.012092177039289859,0.984375
40,40,0.012175313906303331,0.9921875
44,44,0.012227587941195855,1.0
