,Request Id,request_execution_plus_preemption_time_normalized,cdf
0,0,0.011115184678502178,0.0078125
2,2,0.011115184678502178,0.015625
13,13,0.011115184678502178,0.0234375
17,17,0.011115184678502178,0.03125
18,18,0.011115184678502178,0.0390625
21,21,0.011115184678502178,0.046875
24,24,0.011115184678502178,0.0546875
25,25,0.011115184678502178,0.0625
26,26,0.011115184678502178,0.0703125
29,29,0.011115184678502178,0.078125
30,30,0.011115184678502178,0.0859375
31,31,0.011115184678502178,0.09375
32,32,0.011115184678502178,0.1015625
33,33,0.011115184678502178,0.109375
34,34,0.011115184678502178,0.1171875
35,35,0.011115184678502178,0.125
36,36,0.011115184678502178,0.1328125
37,37,0.011115184678502178,0.140625
38,38,0.011115184678502178,0.1484375
40,41,0.011115184678502178,0.15625
50,50,0.011115184678502178,0.1640625
53,53,0.011115184678502178,0.171875
57,57,0.011115184678502178,0.1796875
58,58,0.011115184678502178,0.1875
63,63,0.011115184678502178,0.1953125
65,65,0.011115184678502178,0.203125
67,67,0.011115184678502178,0.2109375
68,68,0.011115184678502178,0.21875
69,69,0.011115184678502178,0.2265625
70,70,0.011115184678502178,0.234375
71,71,0.011115184678502178,0.2421875
77,77,0.011115184678502178,0.25
83,83,0.011115184678502178,0.2578125
84,84,0.011115184678502178,0.265625
85,85,0.011115184678502178,0.2734375
86,86,0.011115184678502178,0.28125
93,93,0.011115184678502178,0.2890625
94,94,0.011115184678502178,0.296875
95,95,0.011115184678502178,0.3046875
96,96,0.011115184678502178,0.3125
97,97,0.011115184678502178,0.3203125
99,99,0.011115184678502178,0.328125
102,102,0.011115184678502178,0.3359375
109,109,0.011115184678502178,0.34375
110,110,0.011115184678502178,0.3515625
111,111,0.011115184678502178,0.359375
112,112,0.011115184678502178,0.3671875
113,113,0.011115184678502178,0.375
114,114,0.011115184678502178,0.3828125
115,115,0.011115184678502178,0.390625
117,117,0.011115184678502178,0.3984375
122,122,0.011115184678502178,0.40625
123,123,0.011115184678502178,0.4140625
125,125,0.011115184678502178,0.421875
126,126,0.011115184678502178,0.4296875
127,127,0.011115184678502178,0.4375
92,92,0.011150474729655531,0.4453125
81,81,0.011162890125958282,0.453125
16,16,0.011163897089950563,0.4609375
7,7,0.011164299325547475,0.46875
82,82,0.011164499068345931,0.4765625
124,124,0.011165506032338212,0.484375
104,104,0.011167919445919687,0.4921875
59,59,0.011169730631105794,0.5
119,119,0.011170746770098074,0.5078125
75,75,0.01117608923244713,0.515625
28,28,0.01117803284602861,0.5234375
66,66,0.011181687305393114,0.53125
20,20,0.011184948096959165,0.5390625
120,120,0.011185837403749906,0.546875
105,106,0.011189989002106692,0.5546875
91,91,0.011195587428448032,0.5625
56,56,0.011198828420014071,0.5703125
74,74,0.011200515283595548,0.578125
48,48,0.011201957961580111,0.5859375
10,10,0.01120441381415387,0.59375
80,80,0.011206863066727626,0.6015625
15,15,0.011207876241316821,0.609375
3,3,0.011213626603255058,0.6171875
23,23,0.011224918913139273,0.625
90,90,0.01122507558093773,0.6328125
43,44,0.011334300670220194,0.640625
62,62,0.011338908827234808,0.6484375
89,89,0.011375766248869738,0.65625
76,76,0.011385045895172452,0.6640625
12,12,0.01138578385916473,0.671875
78,78,0.011386224437560098,0.6796875
121,121,0.011386962401552377,0.6875
55,55,0.011390054700319948,0.6953125
116,116,0.011390789339312235,0.703125
98,98,0.011394580177072115,0.7109375
72,72,0.011395602151661308,0.71875
27,27,0.011397353165242785,0.7265625
64,64,0.011400723974607296,0.734375
19,19,0.011404001266173346,0.7421875
118,118,0.011404895072964086,0.75
103,103,0.01140906617132087,0.7578125
108,108,0.011410401562521124,0.765625
87,87,0.011414639097662207,0.7734375
4,4,0.011417863589228243,0.78125
54,54,0.011417863589228243,0.7890625
73,73,0.011419691152809714,0.796875
47,47,0.011421294330794272,0.8046875
6,6,0.011424023033368024,0.8125
79,79,0.01142674513594178,0.8203125
14,14,0.011427870660530975,0.828125
1,1,0.011435674772469245,0.8359375
45,46,0.011437948342896544,0.84375
11,11,0.011442921342855471,0.8515625
22,22,0.011450681682353499,0.859375
88,88,0.011450885475151957,0.8671875
52,52,0.011461352059069568,0.875
101,101,0.011468838329482789,0.8828125
5,5,0.011469722236273535,0.890625
100,100,0.011474116191421056,0.8984375
42,42,0.01160007053853375,0.90625
61,61,0.01161508170203717,0.9140625
107,107,0.011680622210982162,0.921875
44,43,0.01170389925020237,0.9296875
9,9,0.011720716359634707,0.9375
51,51,0.011751157829092255,0.9453125
39,39,0.011778654366567741,0.953125
60,60,0.011807959360327634,0.9609375
106,105,0.011883940847776912,0.96875
41,40,0.01190852946158631,0.9765625
8,8,0.01194648278985664,0.984375
46,45,0.0119495496105208,0.9921875
49,49,0.012006670522707581,1.0
