,Time (sec),request_completion
0,7.731095129942723,1
1,7.945843736139308,2
2,8.425000936178131,3
3,8.983737435703132,4
4,11.752330255426312,5
5,14.04257470460533,6
6,18.468406107526093,7
7,18.528047662277935,8
8,20.01390263085401,9
9,20.068343767937012,10
10,20.198271180132444,11
11,21.72252013161684,12
12,21.74237838776694,13
13,22.047214945595034,14
14,24.306294170839237,15
15,25.77665509855465,16
16,26.249419039647027,17
17,27.998527707062152,18
18,31.314003895508346,19
19,31.47491792550471,20
20,34.64272377651498,21
21,37.00055543874467,22
22,38.00412007771387,23
23,38.23115932449338,24
24,44.1703181479162,25
25,44.99105600767837,26
26,45.18572131035828,27
27,45.533628945560814,28
28,49.18781831624143,29
29,51.00156509752785,30
30,54.293024976338366,31
31,56.9097058372309,32
32,58.44643068529124,33
33,64.44643068529125,34
34,65.39778005098921,35
35,67.00388554196235,36
36,70.54080751113501,37
37,72.4681999213887,38
38,76.42495979207553,39
39,78.48708815506228,40
40,80.67986589978265,41
41,80.99224334820754,42
42,81.44858097557693,43
43,82.16213289402683,44
44,82.19002890163341,45
45,82.95763778360224,46
46,83.00389879773203,47
47,83.59776692347063,48
48,85.51144743204112,49
49,86.83206409700152,50
50,87.29288609291196,51
51,88.09523082932697,52
52,88.57093210829356,53
53,93.90254735479047,54
54,96.14596822649321,55
55,98.01049573136575,56
56,98.29751504174713,57
57,100.85737596433776,58
58,101.21420036595364,59
59,102.2048048172367,60
60,108.52321673643618,61
61,110.47205301520721,62
62,111.96403928832979,63
63,114.14787897926851,64
64,117.99520856816908,65
65,120.8412301130522,66
66,121.400867311463,67
67,121.4267421377138,68
68,122.18473822483114,69
69,122.80797989101795,70
70,123.28191431875524,71
71,129.0081569292635,72
72,133.33261636854186,73
73,134.10068254561432,74
74,136.12248978122454,75
75,137.1164592004686,76
76,142.14064549189305,77
77,143.23060094430627,78
78,143.9848168095037,79
79,144.5719543986703,80
80,146.11800403531365,81
81,146.70160537929303,82
82,148.45950592007333,83
83,152.98931308393668,84
84,154.0089670129224,85
85,154.50414884622325,86
86,160.50414884622325,87
87,162.0822367233884,88
88,162.29141593505338,89
89,162.34947988640974,90
90,162.5076437891294,91
91,164.47162798292712,92
92,167.58995201014875,93
93,168.66120231211002,94
94,168.792472996753,95
95,169.7537749366498,96
96,175.7537749366498,97
97,177.26005490735074,98
98,183.403105402617,99
99,187.20345035621318,100
100,187.41574999745401,101
101,189.96681879395422,102
102,192.0672261359714,103
103,193.75762175181097,104
104,194.25818250375931,105
105,196.55783676929323,106
106,196.67015279676312,107
107,197.94409680610445,108
108,199.0252360764845,109
109,204.86339744118587,110
110,209.0359743439573,111
111,209.64736516496254,112
112,211.03600535347243,113
113,211.4296218345876,114
114,216.30477898465608,115
115,220.39321459375148,116
116,221.243235543728,117
117,223.1396008114279,118
118,225.1658756060286,119
119,225.38362539407996,120
120,228.26881248641672,121
121,229.91404954348425,122
122,232.7907070736915,123
123,234.30225779684363,124
124,234.3348194185349,125
125,235.0869880825838,126
126,235.12632590952342,127
127,240.41925656735427,128
