,Request Id,request_execution_time,cdf
31,31,5.354346948990147,0.0078125
96,96,5.354346948990147,0.015625
97,97,5.354346948990147,0.0234375
37,37,5.379991455103682,0.03125
29,29,5.380947529770348,0.0390625
84,84,5.381921439103682,0.046875
36,36,5.385781407103681,0.0546875
127,127,5.407967305770347,0.0625
32,32,5.480086388437007,0.0703125
34,34,5.485197676175824,0.078125
63,63,5.493988724437005,0.0859375
71,71,5.4996693561758185,0.09375
109,109,5.510514198842481,0.1015625
62,62,5.51634234577034,0.109375
114,114,5.56123893962268,0.1171875
75,75,5.564990836437014,0.125
22,22,5.570103028437015,0.1328125
53,53,5.571709249509131,0.140625
98,98,5.571709249509131,0.1484375
61,61,5.574160620175797,0.15625
74,74,5.5820314764370185,0.1640625
60,60,5.594721558842466,0.171875
18,19,5.6096297986096,0.1796875
5,5,5.6132640702893415,0.1875
30,30,5.614397766289331,0.1953125
57,58,5.62718175594294,0.203125
116,116,5.6502591422893325,0.2109375
99,100,5.653286427622669,0.21875
72,72,5.656373654842485,0.2265625
113,113,5.673964617770363,0.234375
100,99,5.680954646842494,0.2421875
33,33,5.6826327268424945,0.25
85,85,5.689520884437032,0.2578125
73,73,5.690918939622682,0.265625
4,4,5.701698150609603,0.2734375
23,23,5.715037428437025,0.28125
28,28,5.716125325795262,0.2890625
19,18,5.718736454289346,0.296875
93,94,5.720963657770355,0.3046875
110,110,5.728910273509169,0.3125
108,108,5.734387473276278,0.3203125
35,35,5.7348849342893695,0.328125
120,120,5.755649904956004,0.3359375
83,83,5.769554881509166,0.34375
95,95,5.779551163942932,0.3515625
118,118,5.789992560956008,0.359375
81,81,5.794091622609597,0.3671875
112,112,5.795328582289364,0.375
21,21,5.798569366842495,0.3828125
0,1,5.800286529509162,0.390625
121,121,5.802373684980926,0.3984375
59,59,5.810905233276278,0.40625
111,111,5.817819888956038,0.4140625
115,115,5.820274864200747,0.421875
107,107,5.824644881276282,0.4296875
38,38,5.838476916225669,0.4375
20,20,5.846391835622681,0.4453125
54,54,5.849507888200774,0.453125
101,101,5.855065456956013,0.4609375
25,25,5.866305089509147,0.46875
82,82,5.866894691128623,0.4765625
3,3,5.889060123622685,0.484375
27,27,5.896526790289343,0.4921875
119,119,5.907737485795259,0.5
125,125,5.920725603128594,0.5078125
123,123,5.933211960461942,0.515625
64,64,5.939581385559007,0.5234375
92,92,5.9395962164619505,0.53125
56,56,5.9404561204619375,0.5390625
69,69,5.940820027942919,0.546875
76,76,5.947631920200781,0.5546875
26,26,5.954795363128643,0.5625
117,117,5.954828429795269,0.5703125
94,93,5.9595856351286125,0.578125
126,126,5.9630811052762205,0.5859375
24,24,5.971348016200798,0.59375
102,102,5.982820148980976,0.6015625
55,55,5.99077044231428,0.609375
58,57,6.002545805795254,0.6171875
17,17,6.00971387730118,0.625
70,70,6.012041659942902,0.6328125
2,2,6.01738612579531,0.640625
105,105,6.0188720777952405,0.6484375
77,77,6.041210117534121,0.65625
79,79,6.0441156831286,0.6640625
1,0,6.0611539682008,0.671875
103,103,6.06984056498097,0.6796875
16,16,6.074402512766696,0.6875
106,106,6.079414186634501,0.6953125
86,86,6.091138864200754,0.703125
88,89,6.093656205795286,0.7109375
51,51,6.097077118914342,0.71875
80,80,6.103548586634498,0.7265625
124,124,6.118381667128559,0.734375
66,67,6.127667341795263,0.7421875
52,52,6.135148116247645,0.75
87,87,6.178130096200786,0.7578125
90,90,6.178186837301161,0.765625
104,104,6.178635985820184,0.7734375
65,65,6.181823322867438,0.78125
122,122,6.195408266314296,0.7890625
78,78,6.20102745248685,0.796875
68,68,6.2408266666345025,0.8046875
91,91,6.247605244486839,0.8125
15,15,6.291327342659472,0.8203125
89,88,6.291810855153509,0.828125
39,39,6.304497488555408,0.8359375
67,66,6.348810236486892,0.84375
14,14,6.444101381910693,0.8515625
50,50,6.479095312118137,0.859375
49,49,6.504914395244018,0.8671875
7,7,6.55212445167256,0.875
6,6,6.6710413605553365,0.8828125
8,9,6.680256405845146,0.890625
13,13,6.718716483992802,0.8984375
11,11,6.8326241360177455,0.90625
48,48,6.8822774417811905,0.9140625
12,12,6.901729439268988,0.921875
10,10,7.001413731293915,0.9296875
40,41,7.025644810479552,0.9375
9,8,7.034664842479591,0.9453125
47,47,7.035534988907074,0.953125
42,42,7.164468572192927,0.9609375
41,40,7.17793054204526,0.96875
45,45,7.214924752932004,0.9765625
46,46,7.222607237806077,0.984375
43,43,7.259153770290252,0.9921875
44,44,7.270070047164352,1.0
