,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
73,73,7.543639305329641e-05,0.0078125
74,74,7.543639305329641e-05,0.015625
75,75,7.543639305329641e-05,0.0234375
76,76,7.543639305329641e-05,0.03125
77,77,7.543639305329641e-05,0.0390625
78,78,7.543639305329641e-05,0.046875
79,79,7.543639305329641e-05,0.0546875
80,80,7.543639305329641e-05,0.0625
81,81,7.543639305329641e-05,0.0703125
82,82,7.543639305329641e-05,0.078125
83,83,7.543639305329641e-05,0.0859375
84,84,7.543639305329641e-05,0.09375
85,85,7.543639305329641e-05,0.1015625
86,86,7.543639305329641e-05,0.109375
87,87,7.543639305329641e-05,0.1171875
88,88,7.543639305329641e-05,0.125
89,89,7.543639305329641e-05,0.1328125
90,90,7.543639305329641e-05,0.140625
91,91,7.543639305329641e-05,0.1484375
92,92,7.543639305329641e-05,0.15625
93,93,7.543639305329641e-05,0.1640625
94,94,7.543639305329641e-05,0.171875
95,95,7.543639305329641e-05,0.1796875
96,96,7.543639305329641e-05,0.1875
97,97,7.543639305329641e-05,0.1953125
98,98,7.543639305329641e-05,0.203125
99,99,7.543639305329641e-05,0.2109375
100,100,7.543639305329641e-05,0.21875
101,101,7.543639305329641e-05,0.2265625
102,102,7.543639305329641e-05,0.234375
103,103,7.543639305329641e-05,0.2421875
104,104,7.543639305329641e-05,0.25
105,105,7.543639305329641e-05,0.2578125
106,106,7.543639305329641e-05,0.265625
107,107,7.543639305329641e-05,0.2734375
108,108,7.543639305329641e-05,0.28125
109,109,7.543639305329641e-05,0.2890625
110,110,7.543639305329641e-05,0.296875
111,111,7.543639305329641e-05,0.3046875
112,112,7.543639305329641e-05,0.3125
113,113,7.543639305329641e-05,0.3203125
114,114,7.543639305329641e-05,0.328125
115,115,7.543639305329641e-05,0.3359375
116,116,7.543639305329641e-05,0.34375
117,117,7.543639305329641e-05,0.3515625
118,118,7.543639305329641e-05,0.359375
119,119,7.543639305329641e-05,0.3671875
120,120,7.543639305329641e-05,0.375
121,121,7.543639305329641e-05,0.3828125
122,122,7.543639305329641e-05,0.390625
123,123,7.543639305329641e-05,0.3984375
124,124,7.543639305329641e-05,0.40625
125,125,7.543639305329641e-05,0.4140625
126,126,7.543639305329641e-05,0.421875
127,127,7.543639305329641e-05,0.4296875
22,22,7.543639305329988e-05,0.4375
23,23,7.543639305329988e-05,0.4453125
24,24,7.543639305329988e-05,0.453125
25,25,7.543639305329988e-05,0.4609375
26,26,7.543639305329988e-05,0.46875
27,27,7.543639305329988e-05,0.4765625
28,28,7.543639305329988e-05,0.484375
29,29,7.543639305329988e-05,0.4921875
30,30,7.543639305329988e-05,0.5
31,31,7.543639305329988e-05,0.5078125
32,32,7.543639305329988e-05,0.515625
33,33,7.543639305329988e-05,0.5234375
34,34,7.543639305329988e-05,0.53125
35,35,7.543639305329988e-05,0.5390625
4,4,7.543639305330075e-05,0.546875
5,5,7.543639305330075e-05,0.5546875
6,6,7.543639305330075e-05,0.5625
7,7,7.543639305330075e-05,0.5703125
8,8,7.543639305330075e-05,0.578125
9,9,7.543639305330075e-05,0.5859375
10,10,7.543639305330075e-05,0.59375
11,11,7.543639305330075e-05,0.6015625
12,12,7.543639305330075e-05,0.609375
0,0,7.543639305330097e-05,0.6171875
1,1,7.543639305330097e-05,0.625
2,2,7.543639305330097e-05,0.6328125
3,3,7.543639305330097e-05,0.640625
13,13,7.543639305330162e-05,0.6484375
14,14,7.543639305330162e-05,0.65625
15,15,7.543639305330162e-05,0.6640625
16,16,7.543639305330162e-05,0.671875
17,17,7.543639305330162e-05,0.6796875
18,18,7.543639305330162e-05,0.6875
19,19,7.543639305330162e-05,0.6953125
20,20,7.543639305330162e-05,0.703125
21,21,7.543639305330162e-05,0.7109375
36,36,7.543639305330335e-05,0.71875
37,37,7.543639305330335e-05,0.7265625
38,38,7.543639305330335e-05,0.734375
39,39,7.543639305330335e-05,0.7421875
40,41,7.543639305330335e-05,0.75
41,40,7.543639305330335e-05,0.7578125
42,42,7.543639305330335e-05,0.765625
43,43,7.543639305330335e-05,0.7734375
44,44,7.543639305330335e-05,0.78125
45,45,7.543639305330335e-05,0.7890625
46,46,7.543639305330335e-05,0.796875
49,49,7.543639305330335e-05,0.8046875
50,50,7.543639305330335e-05,0.8125
51,51,7.543639305330335e-05,0.8203125
52,52,7.543639305330335e-05,0.828125
53,53,7.543639305330335e-05,0.8359375
54,54,7.543639305330335e-05,0.84375
55,55,7.543639305330335e-05,0.8515625
56,56,7.543639305330335e-05,0.859375
57,57,7.543639305330335e-05,0.8671875
58,58,7.543639305330335e-05,0.875
59,59,7.543639305330335e-05,0.8828125
60,60,7.543639305330335e-05,0.890625
61,61,7.543639305330335e-05,0.8984375
62,62,7.543639305330335e-05,0.90625
63,63,7.543639305330335e-05,0.9140625
64,64,7.543639305330335e-05,0.921875
65,65,7.543639305330335e-05,0.9296875
66,66,7.543639305330335e-05,0.9375
67,67,7.543639305330335e-05,0.9453125
68,68,7.543639305330335e-05,0.953125
69,69,7.543639305330335e-05,0.9609375
70,70,7.543639305330335e-05,0.96875
71,71,7.543639305330335e-05,0.9765625
72,72,7.543639305330335e-05,0.984375
47,47,8.372179122071582e-05,0.9921875
48,48,8.372179122071582e-05,1.0
