,Request Id,prefill_e2e_time,cdf
74,74,0.1700335493566172,0.0078125
75,75,0.1700335493566172,0.015625
76,76,0.1700335493566172,0.0234375
77,77,0.1700335493566172,0.03125
78,78,0.1700335493566172,0.0390625
79,79,0.1700335493566172,0.046875
80,80,0.1700335493566172,0.0546875
82,82,0.1700335493566172,0.0625
83,83,0.1700335493566172,0.0703125
84,84,0.1700335493566172,0.078125
85,85,0.1700335493566172,0.0859375
86,86,0.1700335493566172,0.09375
87,87,0.1700335493566172,0.1015625
88,88,0.1700335493566172,0.109375
90,90,0.1700335493566172,0.1171875
91,91,0.1700335493566172,0.125
92,92,0.1700335493566172,0.1328125
93,93,0.1700335493566172,0.140625
94,94,0.1700335493566172,0.1484375
95,95,0.1700335493566172,0.15625
96,96,0.1700335493566172,0.1640625
97,97,0.1700335493566172,0.171875
98,98,0.1700335493566172,0.1796875
99,99,0.1700335493566172,0.1875
100,100,0.1700335493566172,0.1953125
101,101,0.1700335493566172,0.203125
102,102,0.1700335493566172,0.2109375
103,103,0.1700335493566172,0.21875
104,104,0.1700335493566172,0.2265625
106,106,0.1700335493566172,0.234375
107,107,0.1700335493566172,0.2421875
108,108,0.1700335493566172,0.25
109,109,0.1700335493566172,0.2578125
110,110,0.1700335493566172,0.265625
111,111,0.1700335493566172,0.2734375
112,112,0.1700335493566172,0.28125
114,114,0.1700335493566172,0.2890625
115,115,0.1700335493566172,0.296875
116,116,0.1700335493566172,0.3046875
117,117,0.1700335493566172,0.3125
118,118,0.1700335493566172,0.3203125
119,119,0.1700335493566172,0.328125
120,120,0.1700335493566172,0.3359375
122,122,0.1700335493566172,0.34375
123,123,0.1700335493566172,0.3515625
124,124,0.1700335493566172,0.359375
125,125,0.1700335493566172,0.3671875
126,126,0.1700335493566172,0.375
127,127,0.1700335493566172,0.3828125
5,5,0.17003354935662784,0.390625
6,6,0.17003354935662784,0.3984375
7,7,0.17003354935662784,0.40625
8,8,0.17003354935662784,0.4140625
10,10,0.17003354935662784,0.421875
11,11,0.17003354935662962,0.4296875
0,0,0.17003354935663006,0.4375
1,1,0.17003354935663006,0.4453125
2,2,0.17003354935663006,0.453125
3,3,0.17003354935663006,0.4609375
4,4,0.1700335493566305,0.46875
13,13,0.1700335493566314,0.4765625
14,14,0.1700335493566314,0.484375
15,15,0.1700335493566314,0.4921875
16,16,0.1700335493566314,0.5
18,18,0.1700335493566314,0.5078125
19,19,0.1700335493566314,0.515625
20,20,0.1700335493566314,0.5234375
21,21,0.1700335493566314,0.53125
22,22,0.1700335493566314,0.5390625
23,23,0.1700335493566314,0.546875
24,24,0.1700335493566314,0.5546875
25,25,0.1700335493566314,0.5625
26,26,0.1700335493566314,0.5703125
27,27,0.1700335493566314,0.578125
28,28,0.1700335493566314,0.5859375
29,29,0.1700335493566314,0.59375
30,30,0.1700335493566314,0.6015625
31,31,0.1700335493566314,0.609375
32,32,0.1700335493566314,0.6171875
33,33,0.1700335493566314,0.625
34,34,0.1700335493566314,0.6328125
35,35,0.1700335493566314,0.640625
36,36,0.1700335493566456,0.6484375
37,37,0.1700335493566456,0.65625
38,38,0.1700335493566456,0.6640625
39,39,0.1700335493566456,0.671875
40,40,0.1700335493566456,0.6796875
42,42,0.1700335493566456,0.6875
43,43,0.1700335493566456,0.6953125
45,45,0.1700335493566456,0.703125
46,46,0.1700335493566456,0.7109375
47,47,0.1700335493566456,0.71875
50,50,0.1700335493566456,0.7265625
51,51,0.1700335493566456,0.734375
53,53,0.1700335493566456,0.7421875
54,54,0.1700335493566456,0.75
55,55,0.1700335493566456,0.7578125
56,56,0.1700335493566456,0.765625
58,58,0.1700335493566456,0.7734375
59,59,0.1700335493566456,0.78125
60,60,0.1700335493566456,0.7890625
61,61,0.1700335493566456,0.796875
62,62,0.1700335493566456,0.8046875
63,63,0.1700335493566456,0.8125
64,64,0.1700335493566456,0.8203125
65,65,0.1700335493566456,0.828125
66,66,0.1700335493566456,0.8359375
67,67,0.1700335493566456,0.84375
68,68,0.1700335493566456,0.8515625
69,69,0.1700335493566456,0.859375
70,70,0.1700335493566456,0.8671875
71,71,0.1700335493566456,0.875
72,72,0.1700335493566456,0.8828125
121,121,0.18592804234179994,0.890625
57,57,0.18595820671811225,0.8984375
48,48,0.18601825141870165,0.90625
89,89,0.1869389845095668,0.9140625
41,41,0.18701871149229987,0.921875
44,44,0.1898660165068975,0.9296875
105,105,0.19064716224548306,0.9375
9,9,0.1911480331117037,0.9453125
81,81,0.1913822762470545,0.953125
113,113,0.19150358471483742,0.9609375
49,49,0.19231452443295893,0.96875
17,17,0.1931582985761402,0.9765625
12,12,0.19354337543633982,0.984375
73,73,0.19388238233995025,0.9921875
52,52,0.19540549223998482,1.0
