,Request Id,request_e2e_time,cdf
31,31,5.354346948989686,0.0078125
96,96,5.354346948992401,0.015625
97,97,5.354346948992401,0.0234375
84,84,5.382137094461626,0.03125
37,37,5.384287869851164,0.0390625
29,29,5.391112561132964,0.046875
36,36,5.391275520346255,0.0546875
127,127,5.410354730654234,0.0625
34,34,5.485197676175787,0.0703125
32,32,5.485566000595703,0.078125
63,63,5.496174052088037,0.0859375
71,71,5.499669356175772,0.09375
109,109,5.510514198844021,0.1015625
62,62,5.517602292219465,0.109375
114,114,5.567324835575789,0.1171875
53,53,5.571709249509823,0.125
98,98,5.571709249509894,0.1328125
61,61,5.574160620176457,0.140625
75,75,5.574808318177162,0.1484375
22,22,5.578123076520917,0.15625
74,74,5.582557802395854,0.1640625
60,60,5.594721558842878,0.171875
18,19,5.612980070838695,0.1796875
5,5,5.616097874160257,0.1875
30,30,5.618823607482284,0.1953125
57,58,5.635066791486025,0.203125
116,116,5.653990561242352,0.2109375
99,100,5.655682588333974,0.21875
72,72,5.656373654842241,0.2265625
113,113,5.6807117784646834,0.234375
100,99,5.680954646842139,0.2421875
33,33,5.682632726842279,0.25
85,85,5.69124531378219,0.2578125
73,73,5.696996835897323,0.265625
4,4,5.711951500164258,0.2734375
23,23,5.717507068372562,0.28125
19,18,5.723167850681886,0.2890625
93,94,5.724894421914854,0.296875
28,28,5.726187517869761,0.3046875
110,110,5.728910273507466,0.3125
35,35,5.7391977802802145,0.3203125
108,108,5.740777747767709,0.328125
120,120,5.7601888127427685,0.3359375
83,83,5.769554881506878,0.34375
95,95,5.785411432910905,0.3515625
118,118,5.793695013652268,0.359375
81,81,5.795182305784664,0.3671875
21,21,5.798569366842948,0.375
112,112,5.798779209855468,0.3828125
0,1,5.8002865295090835,0.390625
121,121,5.804364444219885,0.3984375
59,59,5.818511401350705,0.40625
115,115,5.820274864201224,0.4140625
111,111,5.822179331257303,0.421875
107,107,5.82558288260168,0.4296875
38,38,5.838476916226327,0.4375
54,54,5.8495078882008045,0.4453125
20,20,5.850483173986742,0.453125
101,101,5.862948261740115,0.4609375
25,25,5.866305089509524,0.46875
82,82,5.874581348588009,0.4765625
3,3,5.8926261610123225,0.484375
27,27,5.904164370096737,0.4921875
119,119,5.909584542890968,0.5
125,125,5.924664709053587,0.5078125
123,123,5.934143357349285,0.515625
64,64,5.939581385559478,0.5234375
56,56,5.9434958130066775,0.53125
92,92,5.946306781664987,0.5390625
76,76,5.947631920200109,0.546875
69,69,5.948903517635856,0.5546875
26,26,5.959780958090626,0.5625
117,117,5.963138965602553,0.5703125
94,93,5.963375696012349,0.578125
126,126,5.96954873533943,0.5859375
24,24,5.971348016200764,0.59375
102,102,5.98751597797397,0.6015625
55,55,5.992442001907179,0.609375
58,57,6.010228999312915,0.6171875
17,17,6.016941997255504,0.625
70,70,6.01955765721344,0.6328125
2,2,6.020666534663945,0.640625
105,105,6.022303098241849,0.6484375
77,77,6.041210117533836,0.65625
79,79,6.044636438191532,0.6640625
1,0,6.061153968200722,0.671875
103,103,6.071217666607737,0.6796875
106,106,6.082697692412495,0.6875
16,16,6.08581569693051,0.6953125
86,86,6.091138864202009,0.703125
51,51,6.100351342569638,0.7109375
88,89,6.1017019280885165,0.71875
80,80,6.104848789824587,0.7265625
124,124,6.1236413778599115,0.734375
66,67,6.128793063656019,0.7421875
52,52,6.140949509425781,0.75
87,87,6.178130096201102,0.7578125
104,104,6.180216691823347,0.765625
65,65,6.181823322867757,0.7734375
90,90,6.186095823931197,0.78125
122,122,6.2048717744794715,0.7890625
78,78,6.208778233957759,0.796875
68,68,6.243088224820028,0.8046875
91,91,6.255200489997378,0.8125
89,88,6.294424733643126,0.8203125
15,15,6.298106614575904,0.828125
39,39,6.30449748855564,0.8359375
67,66,6.355842112977953,0.84375
14,14,6.455993107913066,0.8515625
50,50,6.491788872438349,0.859375
49,49,6.50890055308227,0.8671875
7,7,6.556456553475337,0.875
6,6,6.671041360555318,0.8828125
8,9,6.685492908525454,0.890625
13,13,6.729024962243791,0.8984375
11,11,6.841955307518431,0.90625
48,48,6.892830882804162,0.9140625
12,12,6.907778147893952,0.921875
10,10,7.004563809036483,0.9296875
40,41,7.034634449238197,0.9375
9,8,7.040252030829368,0.9453125
47,47,7.045547006134413,0.953125
42,42,7.166970820573596,0.9609375
41,40,7.1800789653395185,0.96875
45,45,7.2205711957289935,0.9765625
46,46,7.225258720436287,0.984375
43,43,7.266836037087231,0.9921875
44,44,7.270205308111969,1.0
