,Request Id,request_execution_time,cdf
0,1,5.354346948990147,0.0078125
2,2,5.354346948990147,0.015625
18,18,5.354346948990147,0.0234375
19,19,5.354346948990147,0.03125
20,20,5.354346948990147,0.0390625
21,21,5.354346948990147,0.046875
22,22,5.354346948990147,0.0546875
23,23,5.354346948990147,0.0625
25,25,5.354346948990147,0.0703125
26,26,5.354346948990147,0.078125
27,27,5.354346948990147,0.0859375
29,29,5.354346948990147,0.09375
30,30,5.354346948990147,0.1015625
31,31,5.354346948990147,0.109375
32,32,5.354346948990147,0.1171875
33,33,5.354346948990147,0.125
34,34,5.354346948990147,0.1328125
35,35,5.354346948990147,0.140625
36,36,5.354346948990147,0.1484375
37,37,5.354346948990147,0.15625
53,53,5.354346948990147,0.1640625
56,56,5.354346948990147,0.171875
59,59,5.354346948990147,0.1796875
60,60,5.354346948990147,0.1875
61,61,5.354346948990147,0.1953125
62,62,5.354346948990147,0.203125
63,63,5.354346948990147,0.2109375
65,65,5.354346948990147,0.21875
72,72,5.354346948990147,0.2265625
74,74,5.354346948990147,0.234375
75,75,5.354346948990147,0.2421875
77,77,5.354346948990147,0.25
84,84,5.354346948990147,0.2578125
87,88,5.354346948990147,0.265625
92,92,5.354346948990147,0.2734375
94,94,5.354346948990147,0.28125
95,95,5.354346948990147,0.2890625
96,96,5.354346948990147,0.296875
97,97,5.354346948990147,0.3046875
98,98,5.354346948990147,0.3125
99,100,5.354346948990147,0.3203125
107,107,5.354346948990147,0.328125
109,109,5.354346948990147,0.3359375
110,110,5.354346948990147,0.34375
112,112,5.354346948990147,0.3515625
114,114,5.354346948990147,0.359375
116,116,5.354346948990147,0.3671875
118,118,5.354346948990147,0.375
120,120,5.354346948990147,0.3828125
123,124,5.354346948990147,0.390625
127,127,5.354346948990147,0.3984375
58,58,5.378061471103682,0.40625
28,28,5.40122127910368,0.4140625
73,73,5.405081247103681,0.421875
5,5,5.406037321770347,0.4296875
51,51,5.418591135103681,0.4375
108,108,5.432804297770348,0.4453125
82,82,5.438155977770347,0.453125
106,106,5.449760201770347,0.4609375
121,121,5.451544095103679,0.46875
68,68,5.459562697770345,0.4765625
16,16,5.461346591103677,0.484375
93,93,5.467599135103676,0.4921875
50,50,5.474734708437008,0.5
54,54,5.479409004175826,0.5078125
80,80,5.483654175103673,0.515625
24,24,5.49677502017582,0.5234375
71,71,5.4996693561758185,0.53125
4,4,5.4999280524370056,0.5390625
3,3,5.500384022842485,0.546875
38,38,5.511246700175814,0.5546875
14,14,5.514622836437007,0.5625
104,104,5.520694934842477,0.5703125
78,78,5.5253397988424755,0.578125
102,102,5.535412588175806,0.5859375
119,119,5.536960876175805,0.59375
64,64,5.54391925484247,0.6015625
91,91,5.550895468175801,0.609375
76,76,5.5648300601757965,0.6171875
57,57,5.573511156437016,0.625
1,0,5.579617302842463,0.6328125
117,117,5.593186847103689,0.640625
105,105,5.599714121770357,0.6484375
52,52,5.600411124437024,0.65625
101,101,5.606782793770357,0.6640625
49,49,5.61831852394294,0.671875
125,126,5.625897801770358,0.6796875
17,17,5.629979551103691,0.6875
81,81,5.6315724684370245,0.6953125
55,55,5.648279148175817,0.703125
90,90,5.655975455103693,0.7109375
70,70,5.658408351103693,0.71875
115,115,5.666975468175822,0.7265625
113,113,5.668420468437028,0.734375
103,103,5.6735027428424925,0.7421875
100,99,5.680954646842494,0.75
85,85,5.689520884437032,0.7578125
69,69,5.6993721484370345,0.765625
122,122,5.701091606842499,0.7734375
15,15,5.7053862628425,0.78125
79,79,5.7070643428425,0.7890625
9,9,5.715633823103691,0.796875
8,8,5.727216748175836,0.8046875
86,86,5.733044630842502,0.8125
66,66,5.735684374842502,0.8203125
6,6,5.742458476175835,0.828125
126,125,5.743113972437008,0.8359375
111,111,5.746592833509168,0.84375
13,13,5.762400713770334,0.8515625
83,83,5.769554881509166,0.859375
89,89,5.776750921770329,0.8671875
67,67,5.780430230842499,0.875
7,7,5.799283564175829,0.8828125
39,39,5.821379973534094,0.890625
124,123,5.831195457509155,0.8984375
42,42,5.834782832956037,0.90625
43,43,5.839143532175821,0.9140625
12,12,5.84175081162268,0.921875
11,11,5.856988822842483,0.9296875
88,87,5.876408598842478,0.9375
46,46,5.89138528628935,0.9453125
10,10,5.903423856956021,0.953125
45,45,5.90459475828934,0.9609375
40,40,5.937251077534128,0.96875
48,48,5.938395235128611,0.9765625
47,47,5.954609279967862,0.984375
44,44,5.96151037112862,0.9921875
41,41,6.065902460486876,1.0
