,Request Id,request_e2e_time_normalized,cdf
123,124,0.01111518467850442,0.0078125
97,97,0.011211005694668541,0.015625
127,127,0.011217161437235168,0.0234375
32,32,0.011323630860834252,0.03125
96,96,0.01142898958511912,0.0390625
85,85,0.011503812310466266,0.046875
23,23,0.011594920794867056,0.0546875
31,31,0.011601077402380922,0.0625
63,63,0.011629604509349856,0.0703125
59,59,0.011675920628962833,0.078125
95,95,0.011702521508567487,0.0859375
109,109,0.011708464569942956,0.09375
108,108,0.011717607678809971,0.1015625
75,75,0.01174872660205789,0.109375
62,62,0.011756090242005857,0.1171875
98,98,0.01175917333217702,0.125
71,71,0.011764518820141817,0.1328125
84,84,0.011774136283269843,0.140625
37,37,0.011783314600908396,0.1484375
29,29,0.01180076358410645,0.15625
114,114,0.011821190970329076,0.1640625
36,36,0.01183349203330536,0.171875
22,22,0.011874935379840468,0.1796875
4,4,0.0118885572975201,0.1875
33,33,0.01189536829627559,0.1953125
113,113,0.011900088763426075,0.203125
30,30,0.011906034475703889,0.2109375
61,61,0.012001593620217715,0.21875
34,34,0.012002306087861292,0.2265625
35,35,0.012023310126342987,0.234375
74,74,0.012036005978588948,0.2421875
58,58,0.012040582448142267,0.25
83,83,0.012042792660303281,0.2578125
28,28,0.012061533864323945,0.265625
60,60,0.012065082838779356,0.2734375
73,73,0.012089097480575073,0.28125
107,107,0.012157889049284276,0.2890625
53,53,0.012160669933380441,0.296875
94,94,0.01216529226782953,0.3046875
112,112,0.012179846237123593,0.3125
21,21,0.012180672872747045,0.3203125
111,111,0.012184499550428163,0.328125
81,81,0.012207621304107796,0.3359375
125,125,0.012238393938664771,0.34375
126,126,0.012246610022115578,0.3515625
119,119,0.012304502906141102,0.359375
57,57,0.012312051724087503,0.3671875
72,72,0.01231382122343122,0.375
27,27,0.012315917737766163,0.3828125
93,93,0.012336589647080565,0.390625
3,3,0.012355987150087571,0.3984375
70,70,0.012358491336550953,0.40625
99,99,0.012367661722999912,0.4140625
120,120,0.012375026594031835,0.421875
17,17,0.012375373866069024,0.4296875
116,116,0.012406132077129706,0.4375
100,100,0.012410357737987932,0.4453125
110,110,0.012412629818654985,0.453125
18,18,0.012423604482711972,0.4609375
20,20,0.012425020130400664,0.46875
101,101,0.0124336814487091,0.4765625
52,52,0.012462868929784737,0.484375
19,19,0.01248593904909686,0.4921875
122,122,0.012489812886476548,0.5
82,82,0.01248987792135603,0.5078125
117,117,0.012496221721074119,0.515625
124,123,0.01249781122152488,0.5234375
80,80,0.012526403285276433,0.53125
106,106,0.012536206324138821,0.5390625
118,118,0.012557298053714416,0.546875
26,26,0.012581637360705361,0.5546875
115,115,0.012606219818099118,0.5625
2,2,0.012618275591074125,0.5703125
56,56,0.012628250459645912,0.578125
121,121,0.012657248123997267,0.5859375
69,69,0.01266751788470713,0.59375
92,92,0.01267874590346224,0.6015625
24,24,0.012688248888680073,0.609375
68,68,0.01270749153329484,0.6171875
5,5,0.01274843834693802,0.625
105,105,0.01277869131720688,0.6328125
79,79,0.012803747533033427,0.640625
25,25,0.012827596537607996,0.6484375
55,55,0.01286922576367669,0.65625
54,54,0.01288642577918564,0.6640625
16,16,0.012888727292748287,0.671875
51,51,0.012889358218585306,0.6796875
104,104,0.013025552680876684,0.6875
0,0,0.013032932157146893,0.6953125
78,78,0.013039986112930946,0.703125
1,1,0.013047436946603638,0.7109375
86,86,0.01310969708236931,0.71875
102,102,0.013133680543541415,0.7265625
64,64,0.013160309995843278,0.734375
50,50,0.013167949456502154,0.7421875
91,91,0.013169731726510814,0.75
14,14,0.01318898219028225,0.7578125
67,67,0.013200005838508111,0.765625
15,15,0.013214503645266072,0.7734375
90,90,0.013220061617943757,0.78125
66,66,0.013237935171261594,0.7890625
103,103,0.013238469378238027,0.796875
77,77,0.013243468101276079,0.8046875
76,76,0.013290454554979625,0.8125
65,65,0.013432264926247134,0.8203125
49,49,0.013447922467385048,0.828125
89,89,0.013583021904937542,0.8359375
38,38,0.01360762796804349,0.84375
88,88,0.013678676327558703,0.8515625
13,13,0.013718184256216175,0.859375
48,48,0.013833532783688651,0.8671875
87,87,0.013931779574712089,0.875
39,39,0.014093228499436339,0.8828125
10,10,0.014131113518503602,0.890625
7,7,0.014137452572146426,0.8984375
12,12,0.014243438762984523,0.90625
11,11,0.01425528911870889,0.9140625
47,47,0.014370443857223247,0.921875
6,6,0.014372161538503798,0.9296875
9,9,0.01459419581490111,0.9375
8,8,0.014616004878307741,0.9453125
46,46,0.014664022363130441,0.953125
45,45,0.014913050846792425,0.9609375
44,44,0.01517734545847177,0.96875
43,43,0.015403372249448072,0.9765625
42,42,0.015542599303215748,0.984375
41,41,0.015862120557260745,0.9921875
40,40,0.01594180873508244,1.0
