,Request Id,decode_time_execution_plus_preemption_normalized,cdf
31,31,0.010783087902413752,0.0078125
96,96,0.010783087902417277,0.015625
97,97,0.010783087902417277,0.0234375
29,29,0.010784646194801434,0.03125
84,84,0.010785617033797046,0.0390625
127,127,0.01078970170756438,0.046875
36,36,0.010791839203347364,0.0546875
32,32,0.01081018487639944,0.0625
63,63,0.010813100296772848,0.0703125
62,62,0.01081698752393534,0.078125
22,22,0.010823808024865295,0.0859375
75,75,0.010824846099456664,0.09375
74,74,0.010827958123224735,0.1015625
113,113,0.010843307142061887,0.109375
85,85,0.010846481033627342,0.1171875
93,94,0.01085110996037919,0.125
23,23,0.010851567038773241,0.1328125
58,58,0.010862991238977798,0.140625
95,95,0.010889485537957655,0.1484375
108,108,0.010914089660984116,0.15625
59,59,0.010942544293201378,0.1640625
4,4,0.010946462256828821,0.171875
107,107,0.010957885080360774,0.1796875
37,37,0.010973720180077862,0.1875
81,81,0.010982988269255589,0.1953125
51,51,0.011011196524101652,0.203125
34,34,0.011046467135952226,0.2109375
71,71,0.011049267549127079,0.21875
109,109,0.011051329998302495,0.2265625
114,114,0.011059016210240247,0.234375
52,52,0.011062106900254387,0.2421875
98,98,0.011062483400984202,0.25
53,53,0.011062483400987283,0.2578125
61,61,0.011062921704382611,0.265625
60,60,0.011066423731545205,0.2734375
126,126,0.011068786994452406,0.28125
30,30,0.011070213141728708,0.2890625
72,72,0.011077267330831753,0.296875
116,116,0.011079170349448941,0.3046875
100,100,0.011080561303666248,0.3125
99,99,0.011081519646986948,0.3203125
33,33,0.011081662914782811,0.328125
69,69,0.011083502196589406,0.3359375
18,18,0.011083527507993546,0.34375
73,73,0.01108658664616402,0.3515625
110,110,0.011089518190304404,0.359375
35,35,0.011092071620752694,0.3671875
120,120,0.011095882183511874,0.375
83,83,0.011096735791233547,0.3828125
19,19,0.011097232024662,0.390625
112,112,0.01110233506664593,0.3984375
0,1,0.011103577996382027,0.40625
21,21,0.011103773814179888,0.4140625
118,118,0.011104054433620891,0.421875
70,70,0.011108295295704312,0.4296875
111,111,0.011108471537946862,0.4375
20,20,0.011112779380335634,0.4453125
101,101,0.011114106590520756,0.453125
25,25,0.011117400924474954,0.4609375
3,3,0.011118630592274015,0.46875
27,27,0.01111985459186264,0.4765625
28,28,0.011129205138781878,0.484375
17,17,0.011146080763245018,0.4921875
92,92,0.011146394046738117,0.5
125,125,0.011149073786137997,0.5078125
123,123,0.011153342163815527,0.515625
56,56,0.011158279389102688,0.5234375
94,93,0.011159643326745627,0.53125
119,119,0.011163477626044416,0.5390625
26,26,0.011174074086036365,0.546875
117,117,0.01117446566525132,0.5546875
82,82,0.011176707807459774,0.5625
16,16,0.011199542407209412,0.5703125
57,57,0.011215824905760119,0.578125
105,105,0.011231849206909228,0.5859375
2,2,0.011244233520125133,0.59375
79,79,0.011268636780275787,0.6015625
106,106,0.01128609438142325,0.609375
80,80,0.011312201245788578,0.6171875
5,5,0.011325284798509597,0.625
88,89,0.01132709912614932,0.6328125
124,124,0.011335092631078403,0.640625
66,67,0.011357175565940653,0.6484375
121,121,0.011366120513266076,0.65625
54,54,0.011378280554820208,0.6640625
90,90,0.01138665323480692,0.671875
115,115,0.011387750280037856,0.6796875
14,14,0.011399602330566042,0.6875
24,24,0.011414412323573736,0.6953125
49,49,0.011424273827268988,0.703125
50,50,0.011433349725958164,0.7109375
68,68,0.011433877767265455,0.71875
102,102,0.011445157607954726,0.7265625
55,55,0.011455682348337076,0.734375
76,76,0.01145649878210947,0.7421875
103,103,0.011478788143215013,0.75
1,0,0.011490402141616278,0.7578125
77,77,0.011505724775838111,0.765625
15,15,0.011518248161405086,0.7734375
104,104,0.011543007153950402,0.78125
78,78,0.011569101093314882,0.7890625
87,87,0.011580692598982256,0.796875
86,86,0.011584965928780167,0.8046875
122,122,0.011586297343725738,0.8125
65,65,0.011605214640416472,0.8203125
91,91,0.01161387921122492,0.828125
38,38,0.01164010212064559,0.8359375
89,88,0.011643729632333344,0.84375
64,64,0.011681948788337282,0.8515625
67,66,0.01169075231479208,0.859375
13,13,0.011783258682206192,0.8671875
11,11,0.011798504218491213,0.875
12,12,0.011868910624249392,0.8828125
7,7,0.01187822318016114,0.890625
48,48,0.011892122618037043,0.8984375
8,9,0.011944304683277621,0.90625
47,47,0.011957841624770399,0.9140625
39,39,0.012046823970669335,0.921875
9,8,0.012086883745286128,0.9296875
10,10,0.012118579677700126,0.9375
6,6,0.01220599211325641,0.9453125
46,46,0.012214429422396894,0.953125
45,45,0.01222945105728726,0.9609375
41,41,0.01233934087598576,0.96875
40,40,0.012372277601433196,0.9765625
42,42,0.012427957060500316,0.984375
44,44,0.012459318683549131,0.9921875
43,43,0.012461856518150516,1.0
