,Request Id,request_execution_plus_preemption_time_normalized,cdf
31,31,0.011115184678502178,0.0078125
96,96,0.011115184678502178,0.015625
97,97,0.011115184678502178,0.0234375
29,29,0.011146974759283316,0.03125
84,84,0.011147945598275599,0.0390625
127,127,0.011152030272043182,0.046875
36,36,0.011154167767826201,0.0546875
32,32,0.011172525940881093,0.0625
63,63,0.011175441361253305,0.0703125
62,62,0.011179328588416262,0.078125
22,22,0.011186133839346819,0.0859375
75,75,0.011187171913936016,0.09375
74,74,0.011190286937703606,0.1015625
113,113,0.01120556795654152,0.109375
85,85,0.011208621098107559,0.1171875
93,94,0.011213169524859689,0.125
23,23,0.011213626603255058,0.1328125
58,58,0.01122643950737126,0.140625
95,95,0.011252918681349082,0.1484375
108,108,0.01127752280437299,0.15625
59,59,0.011305991186595298,0.1640625
4,4,0.01130989540022126,0.171875
107,107,0.011321331973749814,0.1796875
37,37,0.0113360487445564,0.1875
81,81,0.011346435162642238,0.1953125
34,34,0.011378563912040398,0.203125
51,51,0.011380393094877598,0.2109375
71,71,0.011381364325211057,0.21875
109,109,0.011383426774389438,0.2265625
53,53,0.011394580177072115,0.234375
98,98,0.011394580177072115,0.2421875
61,61,0.011395018480467483,0.25
60,60,0.011398520507630442,0.2578125
72,72,0.011409364106917784,0.265625
99,99,0.011413616423073014,0.2734375
33,33,0.01141375969087147,0.28125
114,114,0.01142134477472118,0.2890625
110,110,0.011421614966391184,0.296875
83,83,0.011428832567321712,0.3046875
52,52,0.011431676096030057,0.3125
126,126,0.011432207762841247,0.3203125
30,30,0.011432541706210024,0.328125
0,1,0.011435674772469245,0.3359375
116,116,0.011441498913931309,0.34375
100,100,0.011442902368148284,0.3515625
18,18,0.011445856072474217,0.359375
69,69,0.011446944964982372,0.3671875
73,73,0.011448915210644893,0.375
25,25,0.01144949770056276,0.3828125
35,35,0.011454401185234121,0.390625
120,120,0.01145820799799393,0.3984375
19,19,0.0114606857930542,0.40625
112,112,0.011464595881126052,0.4140625
21,21,0.01146610237866119,0.421875
118,118,0.011466395498102867,0.4296875
111,111,0.01147080010242876,0.4375
70,70,0.011475101266093425,0.4453125
20,20,0.011475105194816444,0.453125
101,101,0.011476436155002535,0.4609375
3,3,0.011480690156754672,0.46875
27,27,0.01148194753134389,0.4765625
28,28,0.011492658907174538,0.484375
17,17,0.011509529031636849,0.4921875
92,92,0.011509880815130448,0.5
125,125,0.011512506929531006,0.5078125
123,123,0.011515670728298613,0.515625
56,56,0.011520608953585317,0.5234375
94,93,0.011521984391228637,0.53125
119,119,0.01152691076943704,0.5390625
26,26,0.011536133650517602,0.546875
117,117,0.0115367952297321,0.5546875
82,82,0.011540140950848867,0.5625
16,16,0.011566433627597237,0.5703125
57,57,0.011578150720242441,0.578125
105,105,0.011594178771389244,0.5859375
2,2,0.011606326459605956,0.59375
79,79,0.011630696344755071,0.6015625
106,106,0.011649527524813522,0.609375
80,80,0.011675634389177065,0.6171875
5,5,0.011687613362990134,0.625
88,89,0.011689192065626651,0.6328125
124,124,0.011697152195557878,0.640625
54,54,0.011710377330906682,0.6484375
66,67,0.011719268505420252,0.65625
115,115,0.011719847056122914,0.6640625
121,121,0.01172844907774928,0.671875
24,24,0.011746509099661524,0.6796875
90,90,0.011750074003196559,0.6875
14,14,0.011768798901339611,0.6953125
76,76,0.011788595558194108,0.703125
49,49,0.01179347039804466,0.7109375
68,68,0.011797324660658153,0.71875
50,50,0.011802546296733324,0.7265625
102,102,0.011807486172433579,0.734375
55,55,0.011818023412818327,0.7421875
1,0,0.011822498917703504,0.75
77,77,0.011837821551922052,0.7578125
103,103,0.01184112920769411,0.765625
15,15,0.011885142681793215,0.7734375
104,104,0.011905267968428897,0.78125
87,87,0.011912789375065574,0.7890625
86,86,0.011917062704863417,0.796875
78,78,0.011931361907792435,0.8046875
65,65,0.011937311416502375,0.8125
122,122,0.011948625908204072,0.8203125
38,38,0.01197219889672963,0.828125
91,91,0.011977326104614763,0.8359375
89,88,0.01200599044681201,0.84375
64,64,0.012014045564422267,0.8515625
67,66,0.012053078129273524,0.859375
13,13,0.01214983090259433,0.8671875
11,11,0.012161951111883328,0.875
12,12,0.012235482844637284,0.8828125
7,7,0.012240551744641193,0.890625
48,48,0.012261691813812845,0.8984375
8,9,0.012307737826669458,0.90625
47,47,0.012326741195544746,0.9140625
39,39,0.012406024570141599,0.921875
9,8,0.012448943309766397,0.9296875
10,10,0.01248200044609212,0.9375
6,6,0.012538088889343175,0.9453125
46,46,0.012580925330285429,0.953125
45,45,0.01259602327767501,0.9609375
41,41,0.012701670440466417,0.96875
40,40,0.01273461866591348,0.9765625
42,42,0.012791403953892465,0.984375
43,43,0.012825303411542591,0.9921875
44,44,0.01282612465393697,1.0
