,Request Id,prefill_time_execution_plus_preemption,cdf
76,76,0.1700335493566172,0.0078125
77,77,0.1700335493566172,0.015625
83,83,0.1700335493566172,0.0234375
86,86,0.1700335493566172,0.03125
87,87,0.1700335493566172,0.0390625
96,96,0.1700335493566172,0.046875
97,97,0.1700335493566172,0.0546875
98,98,0.1700335493566172,0.0625
99,99,0.1700335493566172,0.0703125
109,109,0.1700335493566172,0.078125
110,110,0.1700335493566172,0.0859375
115,115,0.1700335493566172,0.09375
6,6,0.17003354935662784,0.1015625
0,1,0.17003354935663006,0.109375
1,0,0.17003354935663006,0.1171875
24,24,0.1700335493566314,0.125
25,25,0.1700335493566314,0.1328125
31,31,0.1700335493566314,0.140625
33,33,0.1700335493566314,0.1484375
34,34,0.1700335493566314,0.15625
38,38,0.1700335493566456,0.1640625
53,53,0.1700335493566456,0.171875
54,54,0.1700335493566456,0.1796875
60,60,0.1700335493566456,0.1875
61,61,0.1700335493566456,0.1953125
64,64,0.1700335493566456,0.203125
65,65,0.1700335493566456,0.2109375
71,71,0.1700335493566456,0.21875
72,72,0.1700335493566456,0.2265625
39,39,0.1839107069310444,0.234375
9,8,0.18537449701409514,0.2421875
23,23,0.18537449701409514,0.25
26,26,0.18537449701409514,0.2578125
3,3,0.18537449701409603,0.265625
79,79,0.18537449701412356,0.2734375
93,94,0.18537449701412356,0.28125
124,124,0.18537449701412356,0.2890625
66,67,0.1853915850140737,0.296875
27,27,0.18539158501409503,0.3046875
2,2,0.18539158501409592,0.3125
88,89,0.18539158501411634,0.3203125
85,85,0.18541571301412318,0.328125
78,78,0.18547753701412262,0.3359375
89,88,0.18547753701412262,0.34375
104,104,0.18547753701412262,0.3515625
112,112,0.18547753701412262,0.359375
113,113,0.18547753701412262,0.3671875
57,57,0.1855108170140909,0.375
67,66,0.1855108170140909,0.3828125
75,75,0.1855108170140909,0.390625
120,120,0.1855108170140909,0.3984375
20,20,0.185510817014098,0.40625
22,22,0.185510817014098,0.4140625
73,73,0.18551222501406528,0.421875
84,84,0.18551222501406528,0.4296875
102,102,0.18551222501406528,0.4375
111,111,0.18551222501406528,0.4453125
114,114,0.18551222501406528,0.453125
116,116,0.18551222501406528,0.4609375
121,121,0.18551222501406528,0.46875
122,122,0.18551222501406528,0.4765625
123,123,0.18551222501406528,0.484375
127,127,0.18551222501406528,0.4921875
5,5,0.18551222501409548,0.5
7,7,0.18551222501409548,0.5078125
18,18,0.18551222501409725,0.515625
21,21,0.18551222501409725,0.5234375
29,29,0.1855122250141008,0.53125
30,30,0.1855122250141008,0.5390625
36,36,0.1855122250141079,0.546875
37,37,0.1855122250141079,0.5546875
74,74,0.1855123530141043,0.5625
41,41,0.18551273701407922,0.5703125
56,56,0.18551273701407922,0.578125
35,35,0.18551273701409343,0.5859375
101,101,0.18551273701410764,0.59375
105,105,0.18551273701410764,0.6015625
117,117,0.18551273701410764,0.609375
40,40,0.18551862501406902,0.6171875
55,55,0.18551862501406902,0.625
62,62,0.18551862501406902,0.6328125
63,63,0.18551862501406902,0.640625
32,32,0.18551862501410454,0.6484375
94,93,0.18551862501411165,0.65625
100,100,0.18551862501411165,0.6640625
103,103,0.18551862501411165,0.671875
118,118,0.18551862501411165,0.6796875
10,10,0.18607143341685273,0.6875
90,90,0.18607143341685628,0.6953125
126,126,0.18607143341685628,0.703125
8,9,0.18607776941685117,0.7109375
4,4,0.18607776941685206,0.71875
80,80,0.18607776941686893,0.7265625
82,82,0.18607776941686893,0.734375
95,95,0.18607776941686893,0.7421875
106,106,0.18607776941686893,0.75
108,108,0.18607776941686893,0.7578125
119,119,0.18607776941686893,0.765625
125,125,0.18607776941686893,0.7734375
69,69,0.18608269741683614,0.78125
81,81,0.18608480941682615,0.7890625
91,91,0.18608480941682615,0.796875
107,107,0.18608480941682615,0.8046875
11,11,0.18608480941685102,0.8125
42,42,0.18608480941685457,0.8203125
43,43,0.18608480941685457,0.828125
59,59,0.18608480941685457,0.8359375
68,68,0.18608480941685457,0.84375
17,17,0.18608551341685597,0.8515625
58,58,0.18608551341685597,0.859375
19,19,0.18608832941685094,0.8671875
28,28,0.1860883294168545,0.875
92,92,0.18610522541686692,0.8828125
46,46,0.18764590483884547,0.890625
12,12,0.1876849768388542,0.8984375
13,13,0.187684976838856,0.90625
45,45,0.18768497683888086,0.9140625
44,44,0.18780465683883563,0.921875
70,70,0.18780465683883563,0.9296875
16,16,0.18784830483885173,0.9375
15,15,0.18784999443884942,0.9453125
47,47,0.18887658023628262,0.953125
49,49,0.18902864423628785,0.9609375
50,50,0.18902864423628785,0.96875
51,51,0.18902864423628785,0.9765625
14,14,0.1890286442362914,0.984375
48,48,0.18921942823629934,0.9921875
52,52,0.18921942823629934,1.0
