,Request Id,request_model_execution_time,cdf
0,0,5.690974555393115,0.0078125
25,25,5.690974555393115,0.015625
35,35,5.690974555393115,0.0234375
63,63,5.690974555393115,0.03125
71,71,5.690974555393115,0.0390625
85,85,5.690974555393115,0.046875
86,86,5.690974555393115,0.0546875
110,110,5.690974555393115,0.0625
123,123,5.690974555393115,0.0703125
127,127,5.690974555393115,0.078125
53,53,5.710237718137348,0.0859375
102,102,5.713546242860067,0.09375
120,120,5.727148750719952,0.1015625
37,37,5.736216682169923,0.109375
114,114,5.737621404451272,0.1171875
97,97,5.73886556974388,0.125
84,84,5.7422996822203025,0.1328125
58,58,5.747004673301688,0.140625
94,94,5.748388965332263,0.1484375
95,95,5.7604735801970275,0.15625
81,81,5.763574144931556,0.1640625
59,59,5.77634802652634,0.171875
32,32,5.793116468363176,0.1796875
62,62,5.805521319544222,0.1875
15,15,5.809701477377845,0.1953125
20,20,5.813324811321092,0.203125
82,82,5.821575596699661,0.2109375
99,99,5.827785817497727,0.21875
109,109,5.828314508487392,0.2265625
98,98,5.834025050660923,0.234375
118,118,5.839306277357612,0.2421875
96,96,5.851642667581526,0.25
83,83,5.856318892057973,0.2578125
33,33,5.856945596334833,0.265625
57,57,5.862546955139372,0.2734375
93,93,5.864365551169948,0.28125
36,36,5.869163966818331,0.2890625
100,100,5.8747474900075805,0.296875
70,70,5.877672258089481,0.3046875
34,34,5.878063840745583,0.3125
68,68,5.883641712495669,0.3203125
23,23,5.891288720020019,0.328125
77,77,5.917266089556764,0.3359375
31,31,5.934109860158955,0.34375
61,61,5.946921831443031,0.3515625
119,119,5.949677040731795,0.359375
48,48,5.959612941389207,0.3671875
126,126,5.9761387849618925,0.375
108,108,5.983155378046387,0.3828125
29,29,5.989025815971419,0.390625
92,92,5.997494864865677,0.3984375
75,75,6.00440423730589,0.40625
117,117,6.015581822568428,0.4140625
66,67,6.018875389769704,0.421875
69,69,6.020027873752584,0.4296875
22,22,6.0236434370944885,0.4375
113,113,6.028084928359583,0.4453125
14,14,6.029975249680095,0.453125
80,80,6.0331508002954966,0.4609375
4,4,6.033627623513182,0.46875
56,56,6.043361562987106,0.4765625
60,60,6.0456751924877485,0.484375
76,76,6.049366409413087,0.4921875
101,101,6.050306853141764,0.5
19,19,6.055994859725979,0.5078125
54,54,6.090061154251461,0.515625
30,30,6.090550191296459,0.5234375
17,17,6.10462839184916,0.53125
125,125,6.107819281903363,0.5390625
52,52,6.111573317484706,0.546875
65,65,6.130415363443727,0.5546875
28,28,6.131099214738353,0.5625
64,64,6.131612509279809,0.5703125
21,21,6.132797063573877,0.578125
111,111,6.133197854494499,0.5859375
51,51,6.142451800259845,0.59375
116,116,6.14630093609949,0.6015625
38,38,6.150026247888258,0.609375
67,66,6.150820036883626,0.6171875
73,73,6.1572010527672525,0.625
112,112,6.159004489890688,0.6328125
74,74,6.160021711959037,0.640625
79,79,6.163853721826578,0.6484375
55,55,6.1743544557182135,0.65625
18,18,6.186003947416209,0.6640625
107,107,6.186047689887273,0.671875
5,5,6.201577168976261,0.6796875
27,27,6.211369341314545,0.6875
47,47,6.21587961038745,0.6953125
13,13,6.219046063339178,0.703125
6,6,6.2228821088099,0.7109375
12,12,6.223675407706168,0.71875
16,16,6.233366862398566,0.7265625
3,3,6.236566895920453,0.734375
115,115,6.237546342053732,0.7421875
72,72,6.246146498368479,0.75
39,39,6.251344031853059,0.7578125
124,124,6.256999311800493,0.765625
78,78,6.260942448698713,0.7734375
11,11,6.271022022519279,0.78125
24,24,6.280003587693805,0.7890625
50,50,6.293533347128057,0.796875
10,10,6.311665054785838,0.8046875
91,91,6.314657886240012,0.8125
121,121,6.327366458314718,0.8203125
26,26,6.339893406141049,0.828125
122,122,6.343218784891161,0.8359375
2,2,6.355149844328588,0.84375
106,106,6.357654987797081,0.8515625
46,46,6.367811108518759,0.859375
90,90,6.368398426466332,0.8671875
9,9,6.404738595585063,0.875
49,49,6.438179256728183,0.8828125
1,1,6.438684491121616,0.890625
7,7,6.480019930646601,0.8984375
105,105,6.487402982141942,0.90625
43,43,6.495055397263606,0.9140625
42,42,6.499537898712475,0.921875
89,89,6.502490116725371,0.9296875
8,8,6.5324693422045135,0.9375
45,45,6.5337848201373685,0.9453125
104,104,6.565868600581729,0.953125
41,41,6.575925135500213,0.9609375
88,88,6.6299569785448265,0.96875
44,44,6.658698981583795,0.9765625
103,103,6.663519776873847,0.984375
40,40,6.687874554569513,0.9921875
87,87,6.739985386906772,1.0
