,Time (sec),request_arrival
0,2.040120574549602,1
1,2.0907782526350798,2
2,2.7340263807850107,3
3,3.2391987521252377,4
4,5.9063840977414035,5
5,8.164730115338589,6
6,12.61930631444135,7
7,12.80121112365448,8
8,13.897303442447463,9
9,13.95780379686218,10
10,14.451237188781828,11
11,15.859068244514136,12
12,15.91285705187475,13
13,16.35624039020211,14
14,18.455224392647256,15
15,20.02988290113206,16
16,20.527935739065704,17
17,22.30755315166923,18
18,25.623029340115423,19
19,25.636069277223957,20
20,28.914001001405058,21
21,31.309580883352027,22
22,32.141371056349186,23
23,32.479343592523726,24
24,38.479343592523726,25
25,39.300081452285895,26
26,39.49474675496581,27
27,39.69818412495707,28
28,43.45929160822335,29
29,45.31059054213538,30
30,48.60205042094589,31
31,51.21873128183843,32
32,52.75545612989877,33
33,58.75545612989877,34
34,59.70680549559674,35
35,61.31291098656971,36
36,64.84983295574071,37
37,66.7772253659944,38
38,70.73398523668122,39
39,72.45641711937891,40
40,74.89507626387457,41
41,74.98889134438835,42
42,75.50616928508268,43
43,76.18942659944204,44
44,76.35573764436002,45
45,76.88572939714402,46
46,77.09867706616697,47
47,77.75006422610356,48
48,79.76953397717253,49
49,80.67726603701276,50
50,81.60191153751765,51
51,82.07210857042513,52
52,82.69326721270511,53
53,88.21157279939617,54
54,90.30002206880792,55
55,92.17878772480046,56
56,92.55419249551869,57
57,95.16640140894346,58
58,95.52322581055934,59
59,96.47754154394804,60
60,102.47754154394804,61
61,104.52084270486851,62
62,106.14898684520344,63
63,108.4569044238742,64
64,112.15803789316922,65
65,115.1502555576579,66
66,115.67051407267921,67
67,115.7357675823195,68
68,116.49376366943683,69
69,117.11700533562365,70
70,117.59093976336094,71
71,123.31718237386785,72
72,127.49806806689165,73
73,128.25380067537537,74
74,130.38476700456135,75
75,131.39191066725652,76
76,136.31150199356478,77
77,137.539626388912,78
78,138.15506989747306,79
79,138.72146088906842,80
80,140.36965047328982,81
81,140.9792841717282,82
82,142.73624345596485,83
83,147.29833852854242,84
84,148.31799245752813,85
85,148.81317429082898,86
86,154.81317429082898,87
87,156.2379415053848,88
88,156.42856257177593,89
89,156.5250875669877,90
90,156.75736688375835,91
91,158.7321136780875,92
92,161.87331134114845,93
93,162.97022775671576,94
94,163.10149844135873,95
95,164.06280038125553,96
96,170.06280038125553,97
97,171.56908035195647,98
98,177.56908035195647,99
99,181.51247580081892,100
100,181.53557067624268,101
101,184.08666453758877,102
102,186.37625158057713,103
103,187.91617987209415,104
104,188.53692211167143,105
105,190.58557508269917,106
106,190.8221337908939,107
107,191.96316208806292,108
108,193.1724228857916,109
109,199.1724228857916,110
110,203.34499978856303,111
111,203.95639060956827,112
112,205.34503079807817,113
113,205.73864727919334,114
114,210.61380442926182,115
115,214.70224003835722,116
116,215.4111514020005,117
117,217.44862625603363,118
118,219.32656932867087,119
119,219.65829900216775,120
120,222.53356526325186,121
121,224.08392479388962,122
122,227.09973251829723,123
123,228.61128324144937,124
124,228.6124273608952,125
125,229.39601352718952,126
126,229.43535135412915,127
127,234.72828201196,128
