,cdf,batch_execution_time
0,0.0,0.010041768511489526
1,0.01,0.010041768511489526
2,0.02,0.010041768511489526
3,0.03,0.010041768511489526
4,0.04,0.010041768511489526
5,0.05,0.010041768511489526
6,0.06,0.010041768511489526
7,0.07,0.010041768511489526
8,0.08,0.010041768511489526
9,0.09,0.010041768511489526
10,0.1,0.010041768511489526
11,0.11,0.010041768511489526
12,0.12,0.010122424881781077
13,0.13,0.010122424881781077
14,0.14,0.010122424881781077
15,0.15,0.010122424881781077
16,0.16,0.010122424881781077
17,0.17,0.010122424881781077
18,0.18,0.010122424881781077
19,0.19,0.010122424881781077
20,0.2,0.010122424881781077
21,0.21,0.010122424881781077
22,0.22,0.010122424881781077
23,0.23,0.010122424881781077
24,0.24,0.010142689996659517
25,0.25,0.010142689996659517
26,0.26,0.010142689996659517
27,0.27,0.010142689996659517
28,0.28,0.010142689996659517
29,0.29,0.010142689996659517
30,0.3,0.010142689996659517
31,0.31,0.010142689996659517
32,0.32,0.010142689996659517
33,0.33,0.010142689996659517
34,0.34,0.010142689996659517
35,0.35000000000000003,0.010142689996659517
36,0.36,0.010142689996659517
37,0.37,0.010142689996659517
38,0.38,0.010142689996659517
39,0.39,0.010142689996659517
40,0.4,0.010142689996659517
41,0.41000000000000003,0.010142689996659517
42,0.42,0.010142689996659517
43,0.43,0.010142689996659517
44,0.44,0.010142689996659517
45,0.45,0.010142689996659517
46,0.46,0.010142689996659517
47,0.47000000000000003,0.010142689996659517
48,0.48,0.01020372909115209
49,0.49,0.01020372909115209
50,0.5,0.01020372909115209
51,0.51,0.01020372909115209
52,0.52,0.01020372909115209
53,0.53,0.01020372909115209
54,0.54,0.01020372909115209
55,0.55,0.01020372909115209
56,0.56,0.01020372909115209
57,0.5700000000000001,0.01020372909115209
58,0.58,0.01020372909115209
59,0.59,0.01020372909115209
60,0.6,0.01020372909115209
61,0.61,0.01020372909115209
62,0.62,0.01020372909115209
63,0.63,0.01020372909115209
64,0.64,0.01020372909115209
65,0.65,0.01020372909115209
66,0.66,0.01020372909115209
67,0.67,0.01020372909115209
68,0.68,0.01020372909115209
69,0.6900000000000001,0.01020372909115209
70,0.7000000000000001,0.01020372909115209
71,0.71,0.010244625759957635
72,0.72,0.010244625759957635
73,0.73,0.010244625759957635
74,0.74,0.010244625759957635
75,0.75,0.010244625759957635
76,0.76,0.010244625759957635
77,0.77,0.010244625759957635
78,0.78,0.010244625759957635
79,0.79,0.010244625759957635
80,0.8,0.010244625759957635
81,0.81,0.010244625759957635
82,0.8200000000000001,0.010244625759957635
83,0.8300000000000001,0.010285686343103177
84,0.84,0.010285686343103177
85,0.85,0.010285686343103177
86,0.86,0.010285686343103177
87,0.87,0.010285686343103177
88,0.88,0.010285686343103177
89,0.89,0.010285686343103177
90,0.9,0.010285686343103177
91,0.91,0.010285686343103177
92,0.92,0.010285686343103177
93,0.93,0.010285686343103177
94,0.9400000000000001,0.010834692676727332
95,0.9500000000000001,0.010921717883843935
96,0.96,0.011009442085099047
97,0.97,0.011031483010194344
98,0.98,0.011075697326653724
99,0.99,0.011097870894875253
100,1.0,0.04171053438244991
