Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,0.4860940877993073,0.011047592904529712,0.4860940877993073,0.011047592904529712,0.4860940877993073,0.011047592904529712,0.0,0.0,0.4860940877993073,0.011047592904529712,0.028475241536357006,0.028475241536357006,7.613700945550002e-05,0.01040042832415796,,418.0,374.0,44.0,8.5,0.0
1,1.1941415944531384,0.010955427472047141,1.1941415944531324,0.010955427472047086,1.1941415944531324,0.010955427472047086,0.0,0.0,1.1941415944531324,0.010955427472047086,0.034043161290676416,0.034043161290676416,8.596757901685963e-05,0.010643104891398733,4.314579,505.0,396.0,109.0,3.63302752293578,0.0
2,0.6534256997124022,0.011880467267498222,0.6534256997123844,0.011880467267497898,0.6534256997123844,0.011880467267497898,0.0,0.0,0.6534256997123844,0.011880467267497898,0.07128204570774965,0.07128204570774965,8.109447748321918e-05,0.010584430072811863,0.22729800000000022,934.0,879.0,55.0,15.981818181818182,0.0
3,0.17334046563332706,0.010833779102082941,0.17280211241381635,0.010800132025863522,0.17280211241381635,0.010800132025863522,0.0,0.0005383532195128993,0.17280211241381635,0.010800132025863522,0.014344542384341352,0.013806189164828453,0.00015171636444866432,0.009937245203061607,0.16854999999999976,107.0,91.0,16.0,5.6875,0.0
4,0.1681927631824056,0.01051204769890035,0.16819276318240078,0.010512047698900049,0.16819276318240078,0.010512047698900049,0.0,0.0,0.16819276318240078,0.010512047698900049,0.013160432625557661,0.013160432625557661,0.00014462013874239188,0.009689520659802997,1.1822280000000003,107.0,91.0,16.0,5.6875,0.0
5,0.918838414596836,0.010938552554724238,0.9188384145968462,0.01093855255472436,0.9188384145968462,0.01093855255472436,0.0,0.0,0.9188384145968462,0.01093855255472436,0.03253256418231487,0.03253256418231487,8.538730756513089e-05,0.010551260123982395,0.41887399999999975,465.0,381.0,84.0,4.535714285714286,0.0
6,1.6786959662023087,0.011821802578889498,1.6786959662023861,0.011821802578890043,1.6786959662023861,0.011821802578890043,0.0,0.0,1.6786959662023861,0.011821802578890043,0.11508918986222039,0.11508918986222039,8.765360994837806e-05,0.01101131532633865,1.4339680000000001,1455.0,1313.0,142.0,9.246478873239436,0.0
7,0.9301141050414738,0.01107278696477945,0.9301141050414345,0.011072786964778984,0.9301141050414345,0.011072786964778984,0.0,0.0,0.9301141050414345,0.011072786964778984,0.03604674987587764,0.03604674987587764,9.290399452545782e-05,0.010643658990066621,0.5059339999999999,472.0,388.0,84.0,4.619047619047619,0.0
8,0.1711862891399516,0.012227592081425114,0.16260066760722547,0.011614333400516106,0.16260066760722547,0.011614333400516106,0.0,0.008585621532731125,0.16260066760722547,0.011614333400516106,0.029786435870834183,0.021200814338103058,8.760667081860768e-05,0.010099989519222672,0.08564799999999906,256.0,242.0,14.0,17.285714285714285,0.0
9,1.6865007287993183,0.011095399531574462,1.6828363829589148,0.011071291993150755,1.6828363829589148,0.011071291993150755,0.0,0.003664345840295624,1.6828363829589148,0.011071291993150755,0.023924292562481853,0.02025994672218623,9.693754412529296e-05,0.010938002869979188,0.12790600000000119,361.0,209.0,152.0,1.375,0.0
10,1.4585838739721915,0.011762773177195093,1.4565002121641226,0.011745969452936473,1.4565002121641226,0.011745969452936473,0.0,0.002083661808150339,1.4565002121641226,0.011745969452936473,0.03689495109882657,0.03481128929067623,8.835352611846758e-05,0.011465233248978749,0.23522799999999933,518.0,394.0,124.0,3.1774193548387095,0.0
11,0.6615794040525831,0.011213210238179375,0.6548456421200973,0.011099078680001649,0.6548456421200973,0.011099078680001649,0.0,0.006733761932437687,0.6548456421200973,0.011099078680001649,0.041292891223113415,0.03455912929067573,8.771352611846632e-05,0.010513330725923215,0.7272549999999995,453.0,394.0,59.0,6.677966101694915,0.0
