,cdf,batch_num_decode_tokens
0,0.0,0.0
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,0.9989999999999999
13,0.13,0.9989999999999999
14,0.14,0.9989999999999999
15,0.15,0.9989999999999999
16,0.16,0.9989999999999999
17,0.17,0.9989999999999999
18,0.18,0.9989999999999999
19,0.19,1.9997051226201907
20,0.2,1.9997051226201907
21,0.21,1.9997051226201907
22,0.22,1.9997051226201907
23,0.23,1.9997051226201907
24,0.24,1.9997051226201907
25,0.25,1.9997051226201907
26,0.26,1.9997051226201907
27,0.27,1.9997051226201907
28,0.28,1.9997051226201907
29,0.29,1.9997051226201907
30,0.3,1.9997051226201907
31,0.31,1.9997051226201907
32,0.32,1.9997051226201907
33,0.33,1.9997051226201907
34,0.34,1.9997051226201907
35,0.35000000000000003,1.9997051226201907
36,0.36,1.9997051226201907
37,0.37,1.9997051226201907
38,0.38,1.9997051226201907
39,0.39,1.9997051226201907
40,0.4,1.9997051226201907
41,0.41000000000000003,3.001162958349363
42,0.42,3.001162958349363
43,0.43,3.001162958349363
44,0.44,3.001162958349363
45,0.45,3.001162958349363
46,0.46,3.001162958349363
47,0.47000000000000003,3.001162958349363
48,0.48,3.001162958349363
49,0.49,3.001162958349363
50,0.5,3.001162958349363
51,0.51,3.001162958349363
52,0.52,3.001162958349363
53,0.53,3.001162958349363
54,0.54,3.001162958349363
55,0.55,3.001162958349363
56,0.56,3.001162958349363
57,0.5700000000000001,3.001162958349363
58,0.58,3.001162958349363
59,0.59,3.001162958349363
60,0.6,3.001162958349363
61,0.61,3.001162958349363
62,0.62,3.001162958349363
63,0.63,4.002823400834266
64,0.64,4.002823400834266
65,0.65,4.002823400834266
66,0.66,4.002823400834266
67,0.67,4.002823400834266
68,0.68,4.002823400834266
69,0.6900000000000001,4.002823400834266
70,0.7000000000000001,4.002823400834266
71,0.71,4.002823400834266
72,0.72,4.002823400834266
73,0.73,4.002823400834266
74,0.74,4.002823400834266
75,0.75,4.002823400834266
76,0.76,4.002823400834266
77,0.77,4.002823400834266
78,0.78,4.002823400834266
79,0.79,4.002823400834266
80,0.8,4.997811098765265
81,0.81,4.997811098765265
82,0.8200000000000001,4.997811098765265
83,0.8300000000000001,4.997811098765265
84,0.84,4.997811098765265
85,0.85,4.997811098765265
86,0.86,4.997811098765265
87,0.87,4.997811098765265
88,0.88,4.997811098765265
89,0.89,5.995445496133053
90,0.9,5.995445496133053
91,0.91,5.995445496133053
92,0.92,5.995445496133053
93,0.93,5.995445496133053
94,0.9400000000000001,5.995445496133053
95,0.9500000000000001,6.993632892422741
96,0.96,7.996469989602652
97,0.97,8.997981121446852
98,0.98,8.997981121446852
99,0.99,10.004152608697645
100,1.0,13.000662984908592
