,Request Id,request_execution_plus_preemption_time_normalized,cdf
0,1,0.011115184678502178,0.0078125
2,2,0.011115184678502178,0.015625
3,3,0.011115184678502178,0.0234375
5,5,0.011115184678502178,0.03125
17,17,0.011115184678502178,0.0390625
18,18,0.011115184678502178,0.046875
20,20,0.011115184678502178,0.0546875
21,21,0.011115184678502178,0.0625
22,22,0.011115184678502178,0.0703125
23,23,0.011115184678502178,0.078125
25,25,0.011115184678502178,0.0859375
26,26,0.011115184678502178,0.09375
27,27,0.011115184678502178,0.1015625
29,29,0.011115184678502178,0.109375
30,30,0.011115184678502178,0.1171875
31,31,0.011115184678502178,0.125
32,32,0.011115184678502178,0.1328125
33,33,0.011115184678502178,0.140625
34,34,0.011115184678502178,0.1484375
35,35,0.011115184678502178,0.15625
36,36,0.011115184678502178,0.1640625
37,37,0.011115184678502178,0.171875
53,53,0.011115184678502178,0.1796875
56,56,0.011115184678502178,0.1875
57,57,0.011115184678502178,0.1953125
60,60,0.011115184678502178,0.203125
61,61,0.011115184678502178,0.2109375
62,62,0.011115184678502178,0.21875
63,63,0.011115184678502178,0.2265625
66,67,0.011115184678502178,0.234375
71,71,0.011115184678502178,0.2421875
72,72,0.011115184678502178,0.25
73,73,0.011115184678502178,0.2578125
74,74,0.011115184678502178,0.265625
75,75,0.011115184678502178,0.2734375
79,79,0.011115184678502178,0.28125
83,83,0.011115184678502178,0.2890625
84,84,0.011115184678502178,0.296875
85,85,0.011115184678502178,0.3046875
88,89,0.011115184678502178,0.3125
93,93,0.011115184678502178,0.3203125
94,94,0.011115184678502178,0.328125
96,96,0.011115184678502178,0.3359375
97,97,0.011115184678502178,0.34375
98,98,0.011115184678502178,0.3515625
99,99,0.011115184678502178,0.359375
100,100,0.011115184678502178,0.3671875
101,101,0.011115184678502178,0.375
105,105,0.011115184678502178,0.3828125
109,109,0.011115184678502178,0.390625
110,110,0.011115184678502178,0.3984375
111,111,0.011115184678502178,0.40625
112,112,0.011115184678502178,0.4140625
113,113,0.011115184678502178,0.421875
114,114,0.011115184678502178,0.4296875
116,116,0.011115184678502178,0.4375
117,117,0.011115184678502178,0.4453125
118,118,0.011115184678502178,0.453125
120,120,0.011115184678502178,0.4609375
123,123,0.011115184678502178,0.46875
124,124,0.011115184678502178,0.4765625
127,127,0.011115184678502178,0.484375
19,19,0.011146585873686403,0.4921875
92,92,0.011148723369469423,0.5
125,125,0.011151252500849355,0.5078125
95,95,0.01115164138644627,0.515625
58,58,0.011152808043237008,0.5234375
28,28,0.011157085784803048,0.53125
119,119,0.01115747467039996,0.5390625
108,108,0.01116349485435365,0.546875
82,82,0.011164499068345931,0.5546875
16,16,0.011164901303942844,0.5625
50,50,0.011166912481927407,0.5703125
106,106,0.011167114974725863,0.578125
68,68,0.011169126152710426,0.5859375
59,59,0.011169730631105794,0.59375
51,51,0.011170908296367545,0.6015625
80,80,0.011173659165470286,0.609375
107,107,0.011173821683268742,0.6171875
14,14,0.01117544036972432,0.625
4,4,0.011176413168044044,0.6328125
81,81,0.011182725379982314,0.640625
49,49,0.011185651848467204,0.6484375
52,52,0.011190729241098978,0.65625
13,13,0.01119691658863414,0.6640625
126,126,0.011197800495424877,0.671875
69,69,0.011202682600572392,0.6796875
90,90,0.011202971136169304,0.6875
70,70,0.011203259671766217,0.6953125
89,88,0.011374439013683636,0.703125
121,121,0.011376355520063561,0.7109375
54,54,0.011377534062451207,0.71875
24,24,0.011380775054017234,0.7265625
115,115,0.011381069689614146,0.734375
38,38,0.011383572717187894,0.7421875
104,104,0.01138548922356782,0.75
78,78,0.011386224437560098,0.7578125
102,102,0.011388140943940023,0.765625
64,64,0.01138961412192458,0.7734375
55,55,0.011390054700319948,0.78125
76,76,0.01139341283468446,0.7890625
103,103,0.011393559302482918,0.796875
1,0,0.01139589398725822,0.8046875
77,77,0.011401767299196496,0.8125
7,7,0.011406980622142477,0.8203125
87,87,0.011414639097662207,0.828125
9,9,0.011415961507848313,0.8359375
122,122,0.01141684091463905,0.84375
8,8,0.011421294330794272,0.8515625
65,65,0.011422099219786552,0.859375
86,86,0.011422419855383465,0.8671875
67,66,0.011422740490980377,0.875
15,15,0.011430161155279537,0.8828125
91,91,0.011457052905606327,0.890625
11,11,0.011465119734521382,0.8984375
12,12,0.011473292356234942,0.90625
42,42,0.01147388556559943,0.9140625
46,46,0.011480972349553123,0.921875
6,6,0.01148391318946677,0.9296875
10,10,0.011484115106791737,0.9375
45,45,0.011491237647363943,0.9453125
47,47,0.011515033546139147,0.953125
48,48,0.011536858051509448,0.9609375
44,44,0.01154218181344767,0.96875
43,43,0.011574812500968427,0.9765625
39,39,0.011684524601600986,0.984375
41,41,0.011686347112034406,0.9921875
40,40,0.011744248182854841,1.0
