,Request Id,request_e2e_time_normalized,cdf
22,22,0.011115184678500922,0.0078125
23,23,0.011115184678500922,0.015625
25,25,0.011115184678500922,0.0234375
26,26,0.011115184678500922,0.03125
27,27,0.011115184678500922,0.0390625
29,29,0.011115184678500922,0.046875
30,30,0.011115184678500922,0.0546875
31,31,0.011115184678500922,0.0625
32,32,0.011115184678500922,0.0703125
34,34,0.011115184678500922,0.078125
33,33,0.011115184678500936,0.0859375
35,35,0.011115184678501241,0.09375
21,21,0.011115184678501255,0.1015625
20,20,0.011115184678501706,0.109375
17,17,0.011115184678501804,0.1171875
18,18,0.011115184678501804,0.125
3,3,0.01111518467850218,0.1328125
0,1,0.011115184678502189,0.140625
2,2,0.011115184678502189,0.1484375
5,5,0.01111518467850224,0.15625
73,73,0.01111518467850442,0.1640625
74,74,0.01111518467850442,0.171875
75,75,0.01111518467850442,0.1796875
79,79,0.01111518467850442,0.1875
83,83,0.01111518467850442,0.1953125
84,84,0.01111518467850442,0.203125
85,85,0.01111518467850442,0.2109375
88,89,0.01111518467850442,0.21875
93,93,0.01111518467850442,0.2265625
94,94,0.01111518467850442,0.234375
96,96,0.01111518467850442,0.2421875
97,97,0.01111518467850442,0.25
98,98,0.01111518467850442,0.2578125
99,99,0.01111518467850442,0.265625
100,100,0.01111518467850442,0.2734375
101,101,0.01111518467850442,0.28125
105,105,0.01111518467850442,0.2890625
109,109,0.01111518467850442,0.296875
110,110,0.01111518467850442,0.3046875
111,111,0.01111518467850442,0.3125
112,112,0.01111518467850442,0.3203125
113,113,0.01111518467850442,0.328125
114,114,0.01111518467850442,0.3359375
116,116,0.01111518467850442,0.34375
117,117,0.01111518467850442,0.3515625
118,118,0.01111518467850442,0.359375
120,120,0.01111518467850442,0.3671875
123,123,0.01111518467850442,0.375
124,124,0.01111518467850442,0.3828125
127,127,0.01111518467850442,0.390625
72,72,0.011115184678504475,0.3984375
36,36,0.011115184678504503,0.40625
37,37,0.011115184678504503,0.4140625
53,53,0.011115184678504503,0.421875
56,56,0.011115184678504503,0.4296875
57,57,0.011115184678504503,0.4375
60,60,0.011115184678504503,0.4453125
61,61,0.011115184678504503,0.453125
62,62,0.011115184678504503,0.4609375
63,63,0.011115184678504503,0.46875
66,67,0.011115184678504503,0.4765625
71,71,0.011115184678507112,0.484375
19,19,0.011149784167720785,0.4921875
125,125,0.011152203824017881,0.5
58,58,0.011158434854528138,0.5078125
92,92,0.011165081077553707,0.515625
95,95,0.011168840745102326,0.5234375
106,106,0.011170595803126016,0.53125
28,28,0.01117326940579172,0.5390625
80,80,0.011174196386946611,0.546875
107,107,0.011175049512269442,0.5546875
68,68,0.011176596252620324,0.5625
108,108,0.0111767149500685,0.5703125
51,51,0.011176970636443129,0.578125
16,16,0.011177335030749767,0.5859375
119,119,0.011178084593114535,0.59375
50,50,0.011178157581737791,0.6015625
82,82,0.01117824700021186,0.609375
14,14,0.011179919837424009,0.6171875
59,59,0.011186061080641935,0.625
81,81,0.011187549515507267,0.6328125
4,4,0.011192711171881232,0.640625
49,49,0.011200881185090439,0.6484375
126,126,0.01120513340907392,0.65625
52,52,0.011206705553631652,0.6640625
13,13,0.011208255777894471,0.671875
69,69,0.011212855796126742,0.6796875
90,90,0.0112149964310016,0.6875
70,70,0.011219499794798776,0.6953125
89,88,0.011374439013685289,0.703125
121,121,0.011376355520064885,0.7109375
54,54,0.011377534062453759,0.71875
24,24,0.011380775054016287,0.7265625
115,115,0.01138106968961472,0.734375
38,38,0.011383572717190621,0.7421875
104,104,0.01138548922356769,0.75
78,78,0.011386224437559878,0.7578125
102,102,0.011388140943939473,0.765625
64,64,0.011389614121927488,0.7734375
55,55,0.011390054700322838,0.78125
76,76,0.011393412834683703,0.7890625
103,103,0.011393559302482148,0.796875
1,0,0.011395893987258241,0.8046875
77,77,0.01140176729919612,0.8125
7,7,0.011406980622142831,0.8203125
87,87,0.01141463909766327,0.828125
9,9,0.01141596150784871,0.8359375
122,122,0.01141684091464007,0.84375
8,8,0.01142129433079471,0.8515625
65,65,0.011422099219787318,0.859375
86,86,0.01142241985538367,0.8671875
67,66,0.011422740490981131,0.875
15,15,0.01144269228935818,0.8828125
91,91,0.011471454353797206,0.890625
11,11,0.011476607489819681,0.8984375
6,6,0.011483913189467385,0.90625
46,46,0.011486656656008482,0.9140625
12,12,0.011493657825339235,0.921875
42,42,0.011494654159104667,0.9296875
10,10,0.011504377056994697,0.9375
45,45,0.01151134247297153,0.9453125
47,47,0.011531764569977482,0.953125
44,44,0.011549315695724455,0.9609375
48,48,0.011553532330135813,0.96875
43,43,0.011576831789922998,0.9765625
39,39,0.011684524601603435,0.984375
41,41,0.011686347112035061,0.9921875
40,40,0.011744248182854966,1.0
