,Request Id,request_execution_plus_preemption_time_normalized,cdf
31,31,0.010457708884746382,0.0078125
96,96,0.010457708884746382,0.015625
97,97,0.010457708884746382,0.0234375
37,37,0.01050779581074938,0.03125
29,29,0.010509663144082712,0.0390625
84,84,0.010511565310749378,0.046875
36,36,0.010519104310749377,0.0546875
127,127,0.010562436144082709,0.0625
32,32,0.01070329372741603,0.0703125
34,34,0.010713276711280906,0.078125
63,63,0.010730446727416026,0.0859375
71,71,0.010741541711280896,0.09375
109,109,0.01076272304461422,0.1015625
62,62,0.010774106144082696,0.109375
114,114,0.010861794803950546,0.1171875
75,75,0.010869122727416042,0.125
22,22,0.010879107477416045,0.1328125
53,53,0.010882244627947521,0.140625
98,98,0.010882244627947521,0.1484375
61,61,0.010887032461280853,0.15625
74,74,0.010902405227416052,0.1640625
60,60,0.010927190544614192,0.171875
18,19,0.010956308200409375,0.1796875
5,5,0.01096340638728387,0.1875
30,30,0.01096562063728385,0.1953125
57,58,0.010990589367076054,0.203125
116,116,0.011035662387283852,0.2109375
99,100,0.011041575053950526,0.21875
72,72,0.01104760479461423,0.2265625
113,113,0.01108196214408274,0.234375
100,99,0.011095614544614246,0.2421875
33,33,0.011098892044614247,0.25
85,85,0.011112345477416078,0.2578125
73,73,0.01111507605395055,0.265625
4,4,0.011136129200409382,0.2734375
23,23,0.011162182477416065,0.28125
28,28,0.01116430727694387,0.2890625
19,18,0.01116940713728388,0.296875
93,94,0.011173757144082724,0.3046875
110,110,0.011189277877947596,0.3125
108,108,0.01119997553374273,0.3203125
35,35,0.011200947137283925,0.328125
120,120,0.011241503720617196,0.3359375
83,83,0.01126866187794759,0.34375
95,95,0.011288185867076039,0.3515625
118,118,0.011308579220617202,0.359375
81,81,0.011316585200409368,0.3671875
112,112,0.011319001137283914,0.375
21,21,0.011325330794614247,0.3828125
0,1,0.011328684627947581,0.390625
121,121,0.011332761103478372,0.3984375
59,59,0.011349424283742731,0.40625
111,111,0.011362929470617261,0.4140625
115,115,0.011367724344142084,0.421875
107,107,0.011376259533742739,0.4296875
38,38,0.011403275227003259,0.4375
20,20,0.011418734053950549,0.4453125
54,54,0.011424820094142137,0.453125
101,101,0.011435674720617213,0.4609375
25,25,0.011457627127947553,0.46875
82,82,0.011458778693610592,0.4765625
3,3,0.011502070553950557,0.484375
27,27,0.011516653887283873,0.4921875
119,119,0.011538549776943866,0.5
125,125,0.011563917193610536,0.5078125
123,123,0.01158830461027723,0.515625
64,64,0.011600744893669936,0.5234375
92,92,0.011600773860277247,0.53125
56,56,0.011602453360277222,0.5390625
69,69,0.011603164117076013,0.546875
76,76,0.01161646859414215,0.5546875
26,26,0.011630459693610632,0.5625
117,117,0.011630524276943884,0.5703125
94,93,0.011639815693610571,0.578125
126,126,0.011646642783742618,0.5859375
24,24,0.011662789094142183,0.59375
102,102,0.01168519560347847,0.6015625
55,55,0.011700723520145078,0.609375
58,57,0.011723722276943856,0.6171875
17,17,0.011737722416603867,0.625
70,70,0.01174226886707598,0.6328125
2,2,0.011752707276943965,0.640625
105,105,0.011755609526943829,0.6484375
77,77,0.01179923851080883,0.65625
79,79,0.011804913443610546,0.6640625
1,0,0.011838191344142188,0.671875
103,103,0.011855157353478456,0.6796875
16,16,0.011864067407747453,0.6875
106,106,0.011873855833270509,0.6953125
86,86,0.011896755594142097,0.703125
88,89,0.011901672276943918,0.7109375
51,51,0.011908353747879574,0.71875
80,80,0.011920993333270504,0.7265625
124,124,0.011949964193610467,0.734375
66,67,0.011968100276943873,0.7421875
52,52,0.011982711164546182,0.75
87,87,0.01206666034414216,0.7578125
90,90,0.01206677116660383,0.765625
104,104,0.012067648409805046,0.7734375
65,65,0.012073873677475465,0.78125
122,122,0.01210040677014511,0.7890625
78,78,0.012111381743138378,0.796875
68,68,0.012189114583270513,0.8046875
91,91,0.012202353993138357,0.8125
15,15,0.012287748716131782,0.8203125
89,88,0.012288693076471697,0.828125
39,39,0.012313471657334782,0.8359375
67,66,0.01240001999313846,0.84375
14,14,0.012586135511544323,0.8515625
50,50,0.012654483031480736,0.859375
49,49,0.012704910928210973,0.8671875
7,7,0.012797118069672968,0.875
6,6,0.013029377657334642,0.8828125
8,9,0.0130473757926663,0.890625
13,13,0.013122493132798441,0.8984375
11,11,0.01334496901565966,0.90625
48,48,0.013441948128478888,0.9140625
12,12,0.013479940311072242,0.921875
10,10,0.013674636193933427,0.9296875
40,41,0.013721962520467874,0.9375
9,8,0.013739579770467952,0.9453125
47,47,0.013741279275209128,0.953125
42,42,0.01399310268006431,0.9609375
41,40,0.014019395589932149,0.96875
45,45,0.01409164990807032,0.9765625
46,46,0.014106654761339994,0.984375
43,43,0.01417803470759815,0.9921875
44,44,0.014199355560867875,1.0
