,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
78,78,7.543639305329641e-05,0.0078125
83,83,7.543639305329641e-05,0.015625
85,85,7.543639305329641e-05,0.0234375
86,86,7.543639305329641e-05,0.03125
87,87,7.543639305329641e-05,0.0390625
93,93,7.543639305329641e-05,0.046875
96,96,7.543639305329641e-05,0.0546875
98,98,7.543639305329641e-05,0.0625
99,99,7.543639305329641e-05,0.0703125
110,110,7.543639305329641e-05,0.078125
115,115,7.543639305329641e-05,0.0859375
118,118,7.543639305329641e-05,0.09375
123,123,7.543639305329641e-05,0.1015625
127,127,7.543639305329641e-05,0.109375
24,25,7.543639305329988e-05,0.1171875
33,33,7.543639305329988e-05,0.125
35,35,7.543639305329988e-05,0.1328125
6,6,7.543639305330075e-05,0.140625
0,0,7.543639305330097e-05,0.1484375
1,1,7.543639305330097e-05,0.15625
21,21,7.543639305330162e-05,0.1640625
38,38,7.543639305330335e-05,0.171875
40,40,7.543639305330335e-05,0.1796875
54,54,7.543639305330335e-05,0.1875
57,57,7.543639305330335e-05,0.1953125
60,60,7.543639305330335e-05,0.203125
63,63,7.543639305330335e-05,0.2109375
64,64,7.543639305330335e-05,0.21875
65,65,7.543639305330335e-05,0.2265625
71,71,7.543639305330335e-05,0.234375
72,72,7.543639305330335e-05,0.2421875
79,79,8.313241622071033e-05,0.25
94,94,8.313241622071033e-05,0.2578125
116,116,8.313241622071033e-05,0.265625
2,2,8.313241622071748e-05,0.2734375
41,41,8.31324162207242e-05,0.28125
58,58,8.31324162207242e-05,0.2890625
66,67,8.31324162207242e-05,0.296875
73,73,8.316808288738597e-05,0.3046875
22,22,8.331074955405388e-05,0.3125
26,26,8.331074955405388e-05,0.3203125
34,34,8.331074955405388e-05,0.328125
84,84,8.331074955406081e-05,0.3359375
112,112,8.331074955406081e-05,0.34375
37,37,8.336272872071226e-05,0.3515625
39,39,8.336272872071226e-05,0.359375
55,55,8.336272872071226e-05,0.3671875
61,61,8.336272872071226e-05,0.375
10,10,8.336272872071747e-05,0.3828125
97,97,8.336272872072614e-05,0.390625
101,101,8.338158288738462e-05,0.3984375
120,120,8.348554122071528e-05,0.40625
122,122,8.348554122071528e-05,0.4140625
100,100,8.353106205404026e-05,0.421875
103,103,8.353106205404026e-05,0.4296875
121,121,8.353106205404026e-05,0.4375
67,66,8.353106205405414e-05,0.4453125
7,7,8.359835372071748e-05,0.453125
25,24,8.372179122071582e-05,0.4609375
36,36,8.372179122071582e-05,0.46875
102,102,8.372179122073664e-05,0.4765625
109,109,8.372179122073664e-05,0.484375
111,111,8.372179122073664e-05,0.4921875
23,23,8.510165946904596e-05,0.5
27,27,8.510165946904596e-05,0.5078125
3,3,8.5101659469049e-05,0.515625
43,43,8.523447196904371e-05,0.5234375
56,56,8.523447196904371e-05,0.53125
68,68,8.523447196904371e-05,0.5390625
113,113,8.523447196905065e-05,0.546875
81,80,8.531624280239125e-05,0.5546875
105,105,8.531624280239125e-05,0.5625
62,62,8.551384696904585e-05,0.5703125
74,74,8.551384696904585e-05,0.578125
104,104,8.551384696904585e-05,0.5859375
117,117,8.551384696904585e-05,0.59375
20,20,8.551384696904758e-05,0.6015625
11,12,8.551384696904845e-05,0.609375
32,32,8.551384696904932e-05,0.6171875
77,77,8.555738863570694e-05,0.625
95,95,8.555738863570694e-05,0.6328125
124,124,8.555738863570694e-05,0.640625
69,69,8.555738863571388e-05,0.6484375
80,81,8.570176363570381e-05,0.65625
30,30,8.570176363571422e-05,0.6640625
31,31,8.570176363571422e-05,0.671875
42,42,8.570176363571769e-05,0.6796875
59,59,8.570176363571769e-05,0.6875
76,76,8.572009696904137e-05,0.6953125
114,114,8.572009696904137e-05,0.703125
90,90,8.656593030240134e-05,0.7109375
106,106,8.680874280236894e-05,0.71875
13,13,8.680874280238282e-05,0.7265625
45,45,8.680874280238282e-05,0.734375
46,46,8.680874280238282e-05,0.7421875
12,11,8.680874280238369e-05,0.75
89,89,8.697823238572322e-05,0.7578125
70,70,8.705811780237993e-05,0.765625
75,75,8.705811780239381e-05,0.7734375
82,82,8.711822196903751e-05,0.78125
119,119,8.711822196903751e-05,0.7890625
4,4,8.711822196904922e-05,0.796875
44,44,8.711822196905139e-05,0.8046875
28,28,8.731165946904845e-05,0.8125
29,29,8.731165946904845e-05,0.8203125
17,17,8.731165946905019e-05,0.828125
49,49,8.731165946905539e-05,0.8359375
16,16,8.737609696904923e-05,0.84375
53,53,8.741905530238597e-05,0.8515625
9,9,8.897689008660874e-05,0.859375
19,19,8.910551508660956e-05,0.8671875
91,91,8.986550466993926e-05,0.875
107,107,8.986550466993926e-05,0.8828125
47,47,8.98655046699462e-05,0.890625
50,50,9.035258800327295e-05,0.8984375
14,14,9.054358800327476e-05,0.90625
5,5,9.067092133660873e-05,0.9140625
15,15,9.067092133660873e-05,0.921875
108,108,9.108044715402941e-05,0.9296875
52,52,9.108044715403635e-05,0.9375
48,48,9.117313465404481e-05,0.9453125
51,51,9.123492632071711e-05,0.953125
92,92,9.15931554873739e-05,0.9609375
126,126,9.168304090403923e-05,0.96875
88,88,9.809304243268979e-05,0.9765625
8,8,0.00010047075076603101,0.984375
18,18,0.00010061512576603135,0.9921875
125,125,0.00010197147993271094,1.0
