,Request Id,request_e2e_time_normalized,cdf
24,25,0.010457708884745481,0.0078125
0,0,0.010457708884746269,0.015625
35,35,0.010457708884747244,0.0234375
63,63,0.010457708884747258,0.03125
71,71,0.010457708884747258,0.0390625
85,85,0.010457708884750783,0.046875
86,86,0.010457708884750783,0.0546875
110,110,0.010457708884750783,0.0625
123,123,0.010457708884750783,0.0703125
127,127,0.010457708884750783,0.078125
102,102,0.010583415645187888,0.0859375
99,99,0.010751417044617462,0.09375
114,114,0.010797099498817686,0.1015625
53,53,0.010854799450459723,0.109375
120,120,0.010861757434477537,0.1171875
98,98,0.010882244627949011,0.125
109,109,0.010896288785277708,0.1328125
118,118,0.010997014127949012,0.140625
80,81,0.011037072600195319,0.1484375
59,59,0.01104449809837113,0.15625
37,37,0.011062366560920994,0.1640625
97,97,0.011113936066251828,0.171875
84,84,0.011185038189166108,0.1796875
96,96,0.011270121461276428,0.1875
58,58,0.011290586294620597,0.1953125
95,95,0.011295952563830924,0.203125
20,20,0.011296916354964055,0.2109375
94,94,0.01134694732701308,0.21875
83,83,0.011350202544609445,0.2265625
33,33,0.011360264044614446,0.234375
36,36,0.011362820455344258,0.2421875
32,32,0.011372230238807499,0.25
62,62,0.011385245622121482,0.2578125
100,100,0.011394060555335539,0.265625
57,57,0.011464905461281705,0.2734375
93,93,0.011502834711274668,0.28125
34,34,0.011516339393192243,0.2890625
64,64,0.011528839977003824,0.296875
60,60,0.011621788094142299,0.3046875
82,82,0.011632531719379002,0.3125
15,15,0.01169645672888487,0.3203125
77,77,0.011725886804349661,0.328125
68,68,0.011776377654982545,0.3359375
61,61,0.011779446973462115,0.34375
31,31,0.011787353794955366,0.3515625
54,54,0.011812595594142494,0.359375
70,70,0.011827133785586724,0.3671875
38,38,0.01184335597700395,0.375
101,101,0.011850968413143259,0.3828125
119,119,0.011970037574753623,0.390625
76,76,0.012009928765720046,0.3984375
66,67,0.012050830702453025,0.40625
23,23,0.012063910789271284,0.4140625
22,22,0.012087624219059387,0.421875
21,21,0.012127293510808407,0.4296875
69,69,0.012129682800334496,0.4375
111,111,0.012129952490539053,0.4453125
113,113,0.012130926928642372,0.453125
30,30,0.01214686504739207,0.4609375
65,65,0.012152397177476404,0.46875
29,29,0.012158171260495232,0.4765625
56,56,0.01216263039626611,0.484375
117,117,0.01224359656664209,0.4921875
121,121,0.012311753326279873,0.5
67,66,0.012330775876909977,0.5078125
112,112,0.012339908292243018,0.515625
81,80,0.012372009910751158,0.5234375
55,55,0.012376331615003483,0.53125
6,6,0.012380000810336474,0.5390625
17,17,0.012392689220331862,0.546875
115,115,0.012414826893667241,0.5546875
116,116,0.012421793664400771,0.5625
92,92,0.012487317407494591,0.5703125
48,48,0.01249076487672321,0.578125
5,5,0.012510012619653607,0.5859375
79,79,0.012543990251013104,0.59375
14,14,0.012565588101272479,0.6015625
28,28,0.012593045004855932,0.609375
78,78,0.012597415143667579,0.6171875
72,72,0.012612431893666343,0.625
25,24,0.012614150860727341,0.6328125
73,73,0.01262355654125058,0.640625
18,18,0.012640183592825538,0.6484375
4,4,0.012645659019711018,0.65625
75,75,0.012679620925195423,0.6640625
19,19,0.01270132950300578,0.671875
39,39,0.012718986633788176,0.6796875
16,16,0.01273073869090919,0.6875
74,74,0.012738209331305872,0.6953125
27,27,0.012813884525970362,0.703125
26,26,0.01302937206454384,0.7109375
125,125,0.013034987429430989,0.71875
126,126,0.013038556273534896,0.7265625
10,10,0.01304668006010102,0.734375
13,13,0.013049220683308042,0.7421875
3,3,0.013085285876204661,0.75
108,108,0.013087756261018879,0.7578125
1,1,0.013137854574001396,0.765625
2,2,0.013251889827870515,0.7734375
11,12,0.01327872500456138,0.78125
124,124,0.013305076535634452,0.7890625
122,122,0.013335618339366584,0.796875
52,52,0.013365690966552657,0.8046875
12,11,0.013463442984516055,0.8125
107,107,0.013481069946799984,0.8203125
47,47,0.01352958875551069,0.828125
7,7,0.013569305507658436,0.8359375
91,91,0.013679791830144394,0.84375
51,51,0.01378225180264453,0.8515625
104,104,0.01387270588991113,0.859375
42,42,0.01389038614974275,0.8671875
103,103,0.0138917855637814,0.875
46,46,0.013892068660135565,0.8828125
9,9,0.013940845366410257,0.890625
45,45,0.013943673485762392,0.8984375
106,106,0.013953648208466674,0.90625
8,8,0.013957726917114492,0.9140625
41,41,0.013998461283491664,0.921875
90,90,0.014005322250186802,0.9296875
40,40,0.014050553607605154,0.9375
43,43,0.014081191625417488,0.9453125
50,50,0.014104315723130728,0.953125
44,44,0.014129313444819575,0.9609375
49,49,0.014141093953587036,0.96875
105,105,0.014185475592045915,0.9765625
89,89,0.014344321702406015,0.984375
88,88,0.014430545213000301,0.9921875
87,87,0.014565130774268298,1.0
