,Request Id,prefill_time_execution_plus_preemption,cdf
78,78,0.15449373297315105,0.0078125
83,83,0.15449373297315105,0.015625
85,85,0.15449373297315105,0.0234375
86,86,0.15449373297315105,0.03125
87,87,0.15449373297315105,0.0390625
93,93,0.15449373297315105,0.046875
96,96,0.15449373297315105,0.0546875
98,98,0.15449373297315105,0.0625
99,99,0.15449373297315105,0.0703125
110,110,0.15449373297315105,0.078125
115,115,0.15449373297315105,0.0859375
118,118,0.15449373297315105,0.09375
123,123,0.15449373297315105,0.1015625
127,127,0.15449373297315105,0.109375
24,25,0.15449373297315816,0.1171875
33,33,0.15449373297315816,0.125
35,35,0.15449373297315816,0.1328125
6,6,0.15449373297315994,0.140625
0,0,0.15449373297316038,0.1484375
1,1,0.15449373297316038,0.15625
21,21,0.1544937329731617,0.1640625
38,38,0.15449373297316527,0.171875
40,40,0.15449373297316527,0.1796875
54,54,0.15449373297316527,0.1875
57,57,0.15449373297316527,0.1953125
60,60,0.15449373297316527,0.203125
63,63,0.15449373297316527,0.2109375
64,64,0.15449373297316527,0.21875
65,65,0.15449373297316527,0.2265625
71,71,0.15449373297316527,0.234375
72,72,0.15449373297316527,0.2421875
79,79,0.17025518842001475,0.25
94,94,0.17025518842001475,0.2578125
116,116,0.17025518842001475,0.265625
2,2,0.1702551884200294,0.2734375
41,41,0.17025518842004317,0.28125
58,58,0.17025518842004317,0.2890625
66,67,0.17025518842004317,0.296875
73,73,0.17032823375336648,0.3046875
22,22,0.17062041508670234,0.3125
26,26,0.17062041508670234,0.3203125
34,34,0.17062041508670234,0.328125
84,84,0.17062041508671655,0.3359375
112,112,0.17062041508671655,0.34375
37,37,0.17072686842001872,0.3515625
39,39,0.17072686842001872,0.359375
55,55,0.17072686842001872,0.3671875
61,61,0.17072686842001872,0.375
10,10,0.17072686842002938,0.3828125
97,97,0.17072686842004714,0.390625
101,101,0.1707654817533637,0.3984375
120,120,0.17097838842002488,0.40625
122,122,0.17097838842002488,0.4140625
100,100,0.17107161508667446,0.421875
103,103,0.17107161508667446,0.4296875
121,121,0.17107161508667446,0.4375
67,66,0.17107161508670288,0.4453125
7,7,0.1712094284200294,0.453125
25,24,0.171462228420026,0.4609375
36,36,0.171462228420026,0.46875
102,102,0.17146222842006864,0.4765625
109,109,0.17146222842006864,0.484375
111,111,0.17146222842006864,0.4921875
23,23,0.17428819859260614,0.5
27,27,0.17428819859260614,0.5078125
3,3,0.17428819859261235,0.515625
43,43,0.17456019859260152,0.5234375
56,56,0.17456019859260152,0.53125
68,68,0.17456019859260152,0.5390625
113,113,0.17456019859261573,0.546875
81,80,0.17472766525929728,0.5546875
105,105,0.17472766525929728,0.5625
62,62,0.1751323585926059,0.5703125
74,74,0.1751323585926059,0.578125
104,104,0.1751323585926059,0.5859375
117,117,0.1751323585926059,0.59375
20,20,0.17513235859260945,0.6015625
11,12,0.17513235859261123,0.609375
32,32,0.175132358592613,0.6171875
77,77,0.17522153192592782,0.625
95,95,0.17522153192592782,0.6328125
124,124,0.17522153192592782,0.640625
69,69,0.17522153192594203,0.6484375
80,81,0.1755172119259214,0.65625
30,30,0.17551721192594272,0.6640625
31,31,0.17551721192594272,0.671875
42,42,0.17551721192594982,0.6796875
59,59,0.17551721192594982,0.6875
76,76,0.17555475859259673,0.6953125
114,114,0.17555475859259673,0.703125
90,90,0.17728702525931794,0.7109375
106,106,0.1777843052592516,0.71875
13,13,0.17778430525928002,0.7265625
45,45,0.17778430525928002,0.734375
46,46,0.17778430525928002,0.7421875
12,11,0.1777843052592818,0.75
89,89,0.17813141992596115,0.7578125
70,70,0.1782950252592741,0.765625
75,75,0.17829502525930252,0.7734375
82,82,0.17841811859258883,0.78125
119,119,0.17841811859258883,0.7890625
4,4,0.1784181185926128,0.796875
44,44,0.17841811859261725,0.8046875
28,28,0.17881427859261123,0.8125
29,29,0.17881427859261123,0.8203125
17,17,0.17881427859261478,0.828125
49,49,0.17881427859262544,0.8359375
16,16,0.17894624659261282,0.84375
53,53,0.17903422525928647,0.8515625
9,9,0.1822246708973747,0.859375
19,19,0.18248809489737639,0.8671875
91,91,0.1840445535640356,0.875
107,107,0.1840445535640356,0.8828125
47,47,0.1840445535640498,0.890625
50,50,0.185042100230703,0.8984375
14,14,0.18543326823070672,0.90625
5,5,0.18569404689737468,0.9140625
15,15,0.18569404689737468,0.921875
108,108,0.18653275577145223,0.9296875
52,52,0.18653275577146644,0.9375
48,48,0.18672257977148377,0.9453125
51,51,0.18684912910482865,0.953125
92,92,0.18758278243814175,0.9609375
126,126,0.18776686777147233,0.96875
88,88,0.2008945509021487,0.9765625
8,8,0.20576409756883152,0.984375
18,18,0.2060597775688322,0.9921875
125,125,0.208837590902192,1.0
