,Request Id,request_e2e_time,cdf
24,25,5.354346948989686,0.0078125
0,0,5.35434694899009,0.015625
35,35,5.354346948990589,0.0234375
63,63,5.354346948990596,0.03125
71,71,5.354346948990596,0.0390625
85,85,5.354346948992401,0.046875
86,86,5.354346948992401,0.0546875
110,110,5.354346948992401,0.0625
123,123,5.354346948992401,0.0703125
127,127,5.354346948992401,0.078125
102,102,5.418708810336199,0.0859375
99,99,5.50472552684414,0.09375
114,114,5.528114943394655,0.1015625
53,53,5.557657318635378,0.109375
120,120,5.561219806452499,0.1171875
98,98,5.571709249509894,0.125
109,109,5.5788998580621865,0.1328125
118,118,5.630471233509894,0.140625
80,81,5.650981171300003,0.1484375
59,59,5.654783026366019,0.15625
37,37,5.663931679191549,0.1640625
97,97,5.690335265920936,0.171875
84,84,5.726739552853047,0.1796875
96,96,5.770302188173531,0.1875
58,58,5.780780182845746,0.1953125
95,95,5.783527712681433,0.203125
20,20,5.784021173741596,0.2109375
94,94,5.809637031430697,0.21875
83,83,5.811303702840036,0.2265625
33,33,5.816455190842596,0.234375
36,36,5.81776407313626,0.2421875
32,32,5.822581882269439,0.25
62,62,5.8292457585261985,0.2578125
100,100,5.833759004331796,0.265625
57,57,5.870031596176233,0.2734375
93,93,5.88945137217263,0.28125
34,34,5.8963657693144285,0.2890625
64,64,5.902766068225958,0.296875
60,60,5.950355504200857,0.3046875
82,82,5.955856240322049,0.3125
15,15,5.9885858451890535,0.3203125
77,77,6.0036540438270265,0.328125
68,68,6.029505359351063,0.3359375
61,61,6.031076850412603,0.34375
31,31,6.035125143017147,0.3515625
54,54,6.048048944200957,0.359375
70,70,6.055492498220403,0.3671875
38,38,6.063798260226022,0.375
101,101,6.067695827529349,0.3828125
119,119,6.128659238273855,0.390625
76,76,6.1490835280486635,0.3984375
66,67,6.170025319655949,0.40625
23,23,6.176722324106898,0.4140625
22,22,6.188863600158406,0.421875
21,21,6.209174277533904,0.4296875
69,69,6.210397593771262,0.4375
111,111,6.210535675155995,0.4453125
113,113,6.211034587464894,0.453125
30,30,6.219194904264739,0.4609375
65,65,6.222027354867919,0.46875
29,29,6.224983685373559,0.4765625
56,56,6.227266762888249,0.484375
117,117,6.26872144212075,0.4921875
121,121,6.303617703055295,0.5
67,66,6.313357248977908,0.5078125
112,112,6.318033045628425,0.515625
81,80,6.334469074304593,0.5234375
55,55,6.336681786881783,0.53125
6,6,6.3385604148922745,0.5390625
17,17,6.3450568808099135,0.546875
115,115,6.3563913695576275,0.5546875
116,116,6.359958356173195,0.5625
92,92,6.393506512637231,0.5703125
48,48,6.395271616882283,0.578125
5,5,6.405126461262647,0.5859375
79,79,6.422523008518709,0.59375
14,14,6.433581107851509,0.6015625
28,28,6.447639042486237,0.609375
78,78,6.4498765535578,0.6171875
72,72,6.457565129557167,0.625
25,24,6.458445240692399,0.6328125
73,73,6.463260949120297,0.640625
18,18,6.471773999526675,0.6484375
4,4,6.474577418092041,0.65625
75,75,6.4919659137000565,0.6640625
19,19,6.5030807055389594,0.671875
39,39,6.512121156499546,0.6796875
16,16,6.518138209745505,0.6875
74,74,6.5219631776286064,0.6953125
27,27,6.560708877296825,0.703125
26,26,6.671038497046446,0.7109375
125,125,6.673913563868666,0.71875
126,126,6.675740812049867,0.7265625
10,10,6.679900190771722,0.734375
13,13,6.681200989853718,0.7421875
3,3,6.6996663686167865,0.75
108,108,6.700931205641666,0.7578125
1,1,6.726581541888715,0.765625
2,2,6.784967591869703,0.7734375
11,12,6.798707202335427,0.78125
124,124,6.81219918624484,0.7890625
122,122,6.827836589755691,0.796875
52,52,6.84323377487496,0.8046875
12,11,6.89328280807222,0.8125
107,107,6.902307812761592,0.8203125
47,47,6.927149442821474,0.828125
7,7,6.947484419921119,0.8359375
91,91,7.00405341703393,0.84375
51,51,7.056512922953999,0.8515625
104,104,7.1028254156344985,0.859375
42,42,7.111877708668288,0.8671875
103,103,7.112594208656077,0.875
46,46,7.112739153989409,0.8828125
9,9,7.137712827602051,0.890625
45,45,7.139160824710345,0.8984375
106,106,7.144267882734937,0.90625
8,8,7.14635618156262,0.9140625
41,41,7.167212177147732,0.921875
90,90,7.170724992095643,0.9296875
40,40,7.193883447093839,0.9375
43,43,7.209570112213754,0.9453125
50,50,7.221409650242933,0.953125
44,44,7.234208483747622,0.9609375
49,49,7.2402401042365625,0.96875
105,105,7.262963503127509,0.9765625
89,89,7.34429271163188,0.984375
88,88,7.388439149056154,0.9921875
87,87,7.4573469564253685,1.0
