Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,5.690974555393121,0.011115184678502189,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.17003354935663006,0.17003354935663006,8.302419402179202e-05,0.010783087902415021,,2560,2048,512,4.0,0
1,5.855065483504228,0.011435674772469196,5.855065483504253,0.011435674772469245,5.855065483504253,0.011435674772469245,0.0,0.0,5.855065483504253,0.011435674772469245,0.17003354935663006,0.17003354935663006,8.302419402179202e-05,0.011103577996382027,0.05065767808547772,2560,2048,512,4.0,0
2,5.690974555393121,0.011115184678502189,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.17003354935663006,0.17003354935663006,8.302419402179202e-05,0.010783087902415021,0.6432481281499309,2560,2048,512,4.0,0
3,5.744538683577894,0.011219802116363075,5.74137682086659,0.011213626603255058,5.74137682086659,0.011213626603255058,0.0,0.003161862711333896,5.74137682086659,0.011213626603255058,0.18853635972542993,0.18537449701409603,9.051489112016408e-05,0.010851567038774344,0.505172371340227,2560,2048,512,4.0,0
4,5.845946157684908,0.011417863589228337,5.84594615768486,0.011417863589228243,5.84594615768486,0.011417863589228243,0.0,0.0,5.84594615768486,0.011417863589228243,0.1700335493566305,0.1700335493566305,8.302419402179224e-05,0.011085766813141168,2.667185345616166,2560,2048,512,4.0,0
5,5.877844589266742,0.011480165213411605,5.87249778497205,0.011469722236273535,5.87249778497205,0.011469722236273535,0.0,0.005346804294610763,5.87249778497205,0.011469722236273535,0.19085954130870775,0.18551273701409698,9.058239112016454e-05,0.011107392671793035,2.2583460175971855,2560,2048,512,4.0,0
6,5.8490997930847435,0.01142402303336864,5.849099793084428,0.011424023033368024,5.849099793084428,0.011424023033368024,0.0,0.0,5.849099793084428,0.011424023033368024,0.17003354935662784,0.17003354935662784,8.302419402179094e-05,0.011091926257281476,4.45457619910276,2560,2048,512,4.0,0
7,5.726836538623454,0.011185227614498933,5.716121254680307,0.011164299325547475,5.716121254680307,0.011164299325547475,0.0,0.010715283943190101,5.716121254680307,0.011164299325547475,0.19622750895728558,0.18551222501409548,9.058214112016381e-05,0.010801970761066735,0.18190480921313146,2560,2048,512,4.0,0
8,6.116599188406546,0.011946482789856536,6.1165991884065996,0.01194648278985664,6.1165991884065996,0.01194648278985664,0.0,0.0,6.1165991884065996,0.01194648278985664,0.17003354935662784,0.17003354935662784,8.302419402179094e-05,0.011614386013769372,1.0960923187929819,2560,2048,512,4.0,0
9,6.110539971074832,0.011934648381005532,6.00100677613297,0.011720716359634707,6.00100677613297,0.011720716359634707,0.0,0.1095331949419105,6.00100677613297,0.011720716359634707,0.2949247799560055,0.18539158501409503,9.052323487016359e-05,0.011358623420153958,0.06050035441471735,2560,2048,512,4.0,0
10,5.747033991350616,0.011224675764356672,5.736659872846781,0.01120441381415387,5.736659872846781,0.01120441381415387,0.0,0.010374118503579055,5.736659872846781,0.01120441381415387,0.19585165551767503,0.18547753701409597,9.056520362016405e-05,0.010842152999673713,0.4934333919196483,2560,2048,512,4.0,0
11,5.863451887102704,0.011452054466997468,5.858775727542001,0.011442921342855471,5.858775727542001,0.011442921342855471,0.0,0.004676159560792925,5.858775727542001,0.011442921342855471,0.19075885697764328,0.18608269741685035,9.086069209807146e-05,0.011079478574463009,1.4078310557323075,2560,2048,512,4.0,0
12,5.82952133589219,0.011385783859164434,5.829521335892342,0.01138578385916473,5.829521335892342,0.01138578385916473,0.0,0.0,5.829521335892342,0.01138578385916473,0.17003354935662962,0.17003354935662962,8.302419402179181e-05,0.011053687083077267,0.053788807360614754,2560,2048,512,4.0,0
13,5.690974555392923,0.011115184678501804,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902414633,0.44338333832735977,2560,2048,512,4.0,0
14,5.851069778191981,0.011427870660531213,5.851069778191859,0.011427870660530975,5.851069778191859,0.011427870660530975,0.0,0.0,5.851069778191859,0.011427870660530975,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.011095773884444042,2.098984002445146,2560,2048,512,4.0,0
15,5.74677219742259,0.011224164448090997,5.738432635554212,0.011207876241316821,5.738432635554212,0.011207876241316821,0.0,0.008339561868190515,5.738432635554212,0.011207876241316821,0.19381709888228826,0.18547753701409775,9.056520362016492e-05,0.010845615426836527,1.5746585084848022,2560,2048,512,4.0,0
16,5.721483300581323,0.011174772071447896,5.7159153100546884,0.011163897089950563,5.7159153100546884,0.011163897089950563,0.0,0.00556799052677448,5.7159153100546884,0.011163897089950563,0.19108021554087173,0.18551222501409725,9.058214112016467e-05,0.01080156852546963,0.4980528379336455,2560,2048,512,4.0,0
17,5.690974555392923,0.011115184678501804,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902414633,1.7796174126035247,2560,2048,512,4.0,0
18,5.690974555392923,0.011115184678501804,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902414633,3.315476188446194,2560,2048,512,4.0,0
19,5.838848648280752,0.011404001266173344,5.838848648280753,0.011404001266173346,5.838848648280753,0.011404001266173346,0.0,0.0,5.838848648280753,0.011404001266173346,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.011071904490086174,0.013039937108533906,2560,2048,512,4.0,0
20,5.728722775109919,0.01118891167013656,5.726693425643092,0.011184948096959165,5.726693425643092,0.011184948096959165,0.0,0.0020293494667953382,5.726693425643092,0.011184948096959165,0.18754016648089333,0.185510817014098,9.058145362016504e-05,0.010822622282478565,3.2779317241811015,2560,2048,512,4.0,0
21,5.690974555392643,0.011115184678501255,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902414085,2.3955798819469685,2560,2048,512,4.0,0
22,5.862749021364685,0.0114506816823529,5.8627490213649915,0.011450681682353499,5.8627490213649915,0.011450681682353499,0.0,0.0,5.8627490213649915,0.011450681682353499,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.01111858490626573,0.8317901729971595,2560,2048,512,4.0,0
23,5.751815731969657,0.011234015101503236,5.747158483527308,0.011224918913139273,5.747158483527308,0.011224918913139273,0.0,0.004657248442676121,5.747158483527308,0.011224918913139273,0.19004883345677115,0.18539158501409503,9.052323487016359e-05,0.01086282597365798,0.33797253617454004,2560,2048,512,4.0,0
24,5.690974555392472,0.011115184678500922,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902413752,6.0,2560,2048,512,4.0,0
25,5.690974555392472,0.011115184678500922,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902413752,0.8207378597621684,2560,2048,512,4.0,0
26,5.690974555392472,0.011115184678500922,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902413752,0.19466530267991544,2560,2048,512,4.0,0
27,5.83544482060374,0.01139735316524168,5.835444820604306,0.011397353165242785,5.835444820604306,0.011397353165242785,0.0,0.0,5.835444820604306,0.011397353165242785,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.01106525638915451,0.2034373699912635,2560,2048,512,4.0,0
28,5.72852670801808,0.011188528726597813,5.723152817166648,0.01117803284602861,5.723152817166648,0.01117803284602861,0.0,0.005373890851906538,5.723152817166648,0.01117803284602861,0.19089251586601108,0.18551862501410454,9.058526612016823e-05,0.01081569178154701,3.7611074832662794,2560,2048,512,4.0,0
29,5.690974555392472,0.011115184678500922,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902413752,1.8512989339120267,2560,2048,512,4.0,0
30,5.690974555392472,0.011115184678500922,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902413752,3.291459878810514,2560,2048,512,4.0,0
31,5.690974555392472,0.011115184678500922,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902413752,2.6166808608925365,2560,2048,512,4.0,0
32,5.690974555392472,0.011115184678500922,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902413752,1.536724848060338,2560,2048,512,4.0,0
33,5.690974555392479,0.011115184678500936,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902413765,6.0,2560,2048,512,4.0,0
34,5.690974555392472,0.011115184678500922,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.010783087902413752,0.9513493656979719,2560,2048,512,4.0,0
35,5.690974555392636,0.011115184678501241,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566314,0.1700335493566314,8.302419402179267e-05,0.01078308790241407,1.606105490972972,2560,2048,512,4.0,0
36,5.690974555394305,0.011115184678504503,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566456,0.1700335493566456,8.302419402179961e-05,0.010783087902417304,3.536921969170997,2560,2048,512,4.0,0
37,5.690974555394305,0.011115184678504503,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566456,0.1700335493566456,8.302419402179961e-05,0.010783087902417304,1.9273924102536881,2560,2048,512,4.0,0
38,5.690974555394305,0.011115184678504503,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566456,0.1700335493566456,8.302419402179961e-05,0.010783087902417304,3.956759870686824,2560,2048,512,4.0,0
39,6.030671035683369,0.01177865436656908,6.030671035682683,0.011778654366567741,6.030671035682683,0.011778654366567741,0.0,0.0,6.030671035682683,0.011778654366567741,0.1700335493566456,0.1700335493566456,8.302419402179961e-05,0.011446557590481882,1.7224318826976912,2560,2048,512,4.0,0
40,6.097167084332966,0.011908529461587825,6.097167084332191,0.01190852946158631,6.097167084332191,0.01190852946158631,0.0,0.0,6.097167084332191,0.01190852946158631,0.1700335493566456,0.1700335493566456,8.302419402179961e-05,0.011576432685500626,2.4386591444956593,2560,2048,512,4.0,0
41,5.690974555394305,0.011115184678504503,5.690974555393115,0.011115184678502178,5.690974555393115,0.011115184678502178,0.0,0.0,5.690974555393115,0.011115184678502178,0.1700335493566456,0.1700335493566456,8.302419402179961e-05,0.010783087902417304,0.09381508051377807,2560,2048,512,4.0,0
