,Request Id,decode_time_execution_plus_preemption_normalized,cdf
123,124,0.010783087902417277,0.0078125
127,127,0.010845012562556156,0.015625
97,97,0.010846622001425776,0.0234375
32,32,0.010951233708878988,0.03125
96,96,0.011096892809031977,0.0390625
85,85,0.011126517495343491,0.046875
23,23,0.01122654233911835,0.0546875
31,31,0.011227402327407793,0.0625
63,63,0.011242964795426302,0.0703125
59,59,0.011296099628256506,0.078125
95,95,0.011319455655495858,0.0859375
108,108,0.011327180076787957,0.09375
75,75,0.011362832144871715,0.1015625
62,62,0.011374027872865344,0.109375
109,109,0.011376367793855813,0.1171875
71,71,0.011382350100355348,0.125
84,84,0.01141024987521988,0.1328125
29,29,0.011415961877809064,0.140625
37,37,0.011419635924316662,0.1484375
98,98,0.011427076556089877,0.15625
114,114,0.01144662232034982,0.1640625
36,36,0.011456490237436973,0.171875
22,22,0.01149731853880176,0.1796875
4,4,0.011518145078260248,0.1875
113,113,0.011531182013649055,0.1953125
30,30,0.011535046796541229,0.203125
33,33,0.01156327152018842,0.2109375
126,126,0.011600030272735373,0.21875
34,34,0.011628286076827726,0.2265625
61,61,0.011630956870392534,0.234375
35,35,0.01165885386647772,0.2421875
94,94,0.011662986256518904,0.25
58,58,0.011664870509855263,0.2578125
83,83,0.011666908822745403,0.265625
74,74,0.01167066315626547,0.2734375
28,28,0.011687915820665515,0.28125
73,73,0.011719928651565514,0.2890625
100,100,0.011729400587833394,0.296875
60,60,0.011732986062692158,0.3046875
107,107,0.011772103011549795,0.3125
19,19,0.011787277043785897,0.3203125
53,53,0.011789315948303986,0.328125
125,125,0.011802061409564468,0.3359375
112,112,0.011802393951531487,0.34375
21,21,0.011802892669677559,0.3515625
111,111,0.011814166794249514,0.359375
81,81,0.011832530416781728,0.3671875
93,93,0.011872802112835312,0.375
119,119,0.011919029126803371,0.3828125
99,99,0.011923888150507711,0.390625
72,72,0.011937819008866785,0.3984375
57,57,0.011941924053153558,0.40625
27,27,0.011944241796916458,0.4140625
70,70,0.011965564910440013,0.421875
17,17,0.011978797876950477,0.4296875
3,3,0.011982165905429176,0.4375
18,18,0.011987476763757277,0.4453125
120,120,0.011998762630532178,0.453125
116,116,0.012037043759743848,0.4609375
110,110,0.012040941031340568,0.46875
20,20,0.012057825223128496,0.4765625
101,101,0.012062573253742492,0.484375
52,52,0.012065896656544839,0.4921875
82,82,0.01210535710455185,0.5
122,122,0.012123293284963754,0.5078125
124,123,0.012127038346054053,0.515625
117,117,0.012129876632306413,0.5234375
80,80,0.012146084058076045,0.53125
106,106,0.012148563036983806,0.5390625
118,118,0.012181940701789185,0.546875
26,26,0.012200786950367332,0.5546875
2,2,0.012235636696380094,0.5625
115,115,0.012236682132295007,0.5703125
56,56,0.012240551899308727,0.578125
121,121,0.012270798824759399,0.5859375
69,69,0.012275709889825237,0.59375
92,92,0.012305871650470424,0.6015625
68,68,0.012325059688317791,0.609375
24,24,0.012356152112592902,0.6171875
5,5,0.01237584526403343,0.625
105,105,0.01240815057587813,0.6328125
79,79,0.012431942556398012,0.640625
25,25,0.012451222345538582,0.6484375
1,1,0.012452188008546512,0.65625
55,55,0.01248701270350619,0.6640625
51,51,0.012494581155582246,0.671875
16,16,0.012507602210951568,0.6796875
54,54,0.012515236381541728,0.6875
67,67,0.012592049097614688,0.6953125
104,104,0.01264219608179773,0.703125
78,78,0.012672142783898444,0.7109375
0,0,0.012700835381059726,0.71875
102,102,0.012745103724671192,0.7265625
50,50,0.01277698855950321,0.734375
86,86,0.012777600306282166,0.7421875
64,64,0.012778315667414941,0.75
91,91,0.012778853331406659,0.7578125
66,66,0.012787858377183103,0.765625
90,90,0.012787981797924064,0.7734375
14,14,0.012807752966455262,0.78125
15,15,0.012817772146508088,0.7890625
103,103,0.012862997999986192,0.796875
77,77,0.012866130585726054,0.8046875
76,76,0.012917906045338046,0.8125
89,89,0.012984639093593042,0.8203125
65,65,0.01305631089074058,0.828125
49,49,0.013057340145085056,0.8359375
38,38,0.013242314957959467,0.84375
88,88,0.013243818911028382,0.8515625
13,13,0.013331483335131684,0.859375
48,48,0.013452588105240942,0.8671875
87,87,0.013555666939245592,0.875
12,12,0.0136042021683438,0.8828125
39,39,0.013709196269282048,0.890625
10,10,0.013753254358036246,0.8984375
7,7,0.01376471077201374,0.90625
11,11,0.013801930722822014,0.9140625
47,47,0.01396899039698804,0.921875
9,9,0.013984849020359784,0.9296875
6,6,0.014007583801269007,0.9375
8,8,0.01417557224257155,0.9453125
46,46,0.014267747006917408,0.953125
45,45,0.01452663430444398,0.9609375
44,44,0.014771461224263538,0.96875
43,43,0.014963596218764474,0.9765625
42,42,0.015153443844309722,0.984375
41,41,0.015318225954988662,0.9921875
40,40,0.015500117561513038,1.0
