,Request Id,decode_time_execution_plus_preemption_normalized,cdf
25,25,0.010155963312532282,0.0078125
32,32,0.010155963312532282,0.015625
21,21,0.01015596331253265,0.0234375
0,0,0.010155963312533066,0.03125
35,35,0.010155963312534044,0.0390625
37,37,0.010155963312534044,0.046875
38,38,0.010155963312534044,0.0546875
49,50,0.010155963312534044,0.0625
57,57,0.010155963312534044,0.0703125
58,58,0.010155963312534044,0.078125
63,63,0.010155963312534044,0.0859375
66,67,0.010155963312534044,0.09375
70,70,0.010155963312534044,0.1015625
71,71,0.010155963312534044,0.109375
83,83,0.010155963312537597,0.1171875
84,84,0.010155963312537597,0.125
85,85,0.010155963312537597,0.1328125
86,86,0.010155963312537597,0.140625
95,95,0.010155963312537597,0.1484375
96,96,0.010155963312537597,0.15625
97,97,0.010155963312537597,0.1640625
99,99,0.010155963312537597,0.171875
102,102,0.010155963312537597,0.1796875
109,109,0.010155963312537597,0.1875
110,110,0.010155963312537597,0.1953125
112,112,0.010155963312537597,0.203125
115,115,0.010155963312537597,0.2109375
123,123,0.010155963312537597,0.21875
127,127,0.010155963312537597,0.2265625
18,18,0.01020870147919984,0.234375
36,36,0.010253935479201448,0.2421875
53,53,0.010278814479201231,0.25
114,114,0.01029048914586811,0.2578125
6,7,0.01033057447919965,0.265625
28,28,0.010424714812532695,0.2734375
11,12,0.010483885722400964,0.28125
120,120,0.010515211062532781,0.2890625
20,20,0.01053699889586611,0.296875
16,16,0.010553959305734335,0.3046875
105,106,0.010565134812531796,0.3125
98,98,0.010580499055735826,0.3203125
27,27,0.01061138988906736,0.328125
31,31,0.010642110645866357,0.3359375
80,81,0.010653068812533084,0.34375
125,125,0.01066077764586254,0.3515625
17,17,0.010676297055734578,0.359375
29,29,0.010682620889067476,0.3671875
59,59,0.010694807562532965,0.375
118,118,0.010695268555735826,0.3828125
48,48,0.01070293622920171,0.390625
103,103,0.010742697305734905,0.3984375
92,92,0.010789853395863858,0.40625
68,68,0.01080406131253453,0.4140625
3,3,0.010831833145866257,0.421875
122,122,0.010839753972398947,0.4296875
26,26,0.01085035997920035,0.4375
45,47,0.010884224639067991,0.4453125
69,69,0.010884702562534626,0.453125
111,111,0.01092206855573058,0.4609375
126,126,0.010925474979193883,0.46875
23,23,0.010943728562533936,0.4765625
64,64,0.010944124355263068,0.484375
88,90,0.010944794645860512,0.4921875
2,2,0.01095027402192884,0.5
94,94,0.010969060145860354,0.5078125
12,13,0.010984132479199653,0.515625
65,65,0.010994795639068217,0.5234375
121,121,0.01100385793859432,0.53125
62,62,0.011025038979200208,0.5390625
1,1,0.011026939055734226,0.546875
101,101,0.011035066472394994,0.5546875
24,24,0.011048456972401532,0.5625
19,19,0.011055253472401348,0.5703125
100,100,0.011055256305728844,0.578125
33,33,0.011058518472401246,0.5859375
113,113,0.011074677222393636,0.59375
5,5,0.011085754222400677,0.6015625
30,30,0.011166023722401622,0.609375
22,22,0.01116679905573513,0.6171875
34,34,0.011166881639068704,0.625
15,15,0.011167522479199742,0.6328125
87,88,0.01116833663906186,0.640625
93,93,0.011201089139061482,0.6484375
4,4,0.011237227362060813,0.65625
124,124,0.01125014444538669,0.6640625
116,116,0.01126056977192752,0.671875
82,82,0.011280172229196306,0.6796875
67,66,0.011291256945396178,0.6875
119,119,0.01129529713906019,0.6953125
60,60,0.011320042521929086,0.703125
77,77,0.011332860195387373,0.7109375
7,6,0.011349739521928772,0.71875
76,76,0.011356861021925513,0.7265625
117,117,0.011380754278721206,0.734375
8,10,0.011438537528727508,0.7421875
61,61,0.011444517028728063,0.75
54,54,0.01151085002192928,0.7578125
108,108,0.011556881645864492,0.765625
39,39,0.011635177321457385,0.7734375
75,75,0.011685623645862564,0.78125
91,91,0.011742279112057274,0.7890625
56,56,0.011811445862060177,0.796875
90,89,0.011923371661587578,0.8046875
52,52,0.011928406028728439,0.8125
14,14,0.011997622159531221,0.8203125
81,80,0.01202632111205687,0.828125
107,107,0.012033613445391222,0.8359375
55,55,0.012037049411588396,0.84375
89,87,0.012097892321455972,0.8515625
104,104,0.012099521738118013,0.859375
74,74,0.01211481144538934,0.8671875
46,46,0.01221048731253524,0.875
79,79,0.01221117341158623,0.8828125
106,105,0.012230092911586832,0.890625
73,73,0.012287460828252272,0.8984375
78,78,0.012295669571454393,0.90625
72,72,0.01231068632145313,0.9140625
51,51,0.012313171209059837,0.921875
13,11,0.01245669462572565,0.9296875
10,9,0.012457137175253506,0.9375
43,43,0.012609324862063342,0.9453125
50,49,0.012661678839864382,0.953125
9,8,0.012663316335121372,0.9609375
41,41,0.012798510411591774,0.96875
40,40,0.013015939404793009,0.9765625
42,42,0.013016092308116484,0.984375
47,45,0.013155100472725695,0.9921875
44,44,0.01329488968892023,1.0
