,Request Id,request_execution_time_normalized,cdf
0,0,0.010457708884746382,0.0078125
21,21,0.010457708884746382,0.015625
25,25,0.010457708884746382,0.0234375
32,32,0.010457708884746382,0.03125
35,35,0.010457708884746382,0.0390625
37,37,0.010457708884746382,0.046875
38,38,0.010457708884746382,0.0546875
49,50,0.010457708884746382,0.0625
57,57,0.010457708884746382,0.0703125
58,58,0.010457708884746382,0.078125
63,63,0.010457708884746382,0.0859375
66,67,0.010457708884746382,0.09375
70,70,0.010457708884746382,0.1015625
71,71,0.010457708884746382,0.109375
83,83,0.010457708884746382,0.1171875
84,84,0.010457708884746382,0.125
85,85,0.010457708884746382,0.1328125
86,86,0.010457708884746382,0.140625
95,95,0.010457708884746382,0.1484375
96,96,0.010457708884746382,0.15625
97,97,0.010457708884746382,0.1640625
99,99,0.010457708884746382,0.171875
102,102,0.010457708884746382,0.1796875
109,109,0.010457708884746382,0.1875
110,110,0.010457708884746382,0.1953125
112,112,0.010457708884746382,0.203125
115,115,0.010457708884746382,0.2109375
123,123,0.010457708884746382,0.21875
127,127,0.010457708884746382,0.2265625
18,18,0.010543588644082709,0.234375
36,36,0.01058882264408271,0.2421875
53,53,0.010622041117076037,0.25
114,114,0.010624882560749376,0.2578125
6,7,0.010664967894082703,0.265625
28,28,0.01075883906074936,0.2734375
11,12,0.010785631294614212,0.28125
120,120,0.010849153227416038,0.2890625
20,20,0.010870941060749376,0.296875
98,98,0.010882244627947521,0.3046875
16,16,0.01088835272061723,0.3125
105,106,0.010899076977416051,0.3203125
27,27,0.010913135461280853,0.328125
31,31,0.010975636977416063,0.3359375
17,17,0.010978042627947543,0.34375
29,29,0.010984366461280879,0.3515625
125,125,0.010994303977416063,0.359375
80,81,0.010995875867076038,0.3671875
118,118,0.01099701412794755,0.375
48,48,0.011036387144082732,0.3828125
59,59,0.011037614617076039,0.390625
103,103,0.011044442877947563,0.3984375
68,68,0.011137304310749413,0.40625
92,92,0.011139529617076052,0.4140625
122,122,0.011141499544614257,0.421875
3,3,0.01116507614408273,0.4296875
26,26,0.011183602977416052,0.4375
45,47,0.01118597021128093,0.4453125
111,111,0.011223814127947594,0.453125
69,69,0.011226932117076068,0.4609375
64,64,0.01124586992747537,0.46875
2,2,0.011252019594142071,0.4765625
126,126,0.01126770453374269,0.484375
23,23,0.011276258227416009,0.4921875
88,90,0.011277324310749343,0.5
65,65,0.01129654121128092,0.5078125
94,94,0.011301589810749333,0.515625
12,13,0.01132618786707606,0.5234375
1,1,0.011328684627947581,0.53125
121,121,0.011338143686811703,0.5390625
24,24,0.011350202544614243,0.546875
33,33,0.011360264044614241,0.5546875
62,62,0.011367094367076063,0.5625
101,101,0.01136859280395054,0.5703125
19,19,0.011389195637283876,0.578125
100,100,0.011389380553950565,0.5859375
113,113,0.011408128137283898,0.59375
5,5,0.011428561276943874,0.6015625
22,22,0.01146854462794755,0.609375
87,88,0.011470082211280885,0.6171875
30,30,0.011499965887283907,0.625
34,34,0.011500124637283884,0.6328125
93,93,0.011502834711280874,0.640625
15,15,0.011530206164546287,0.6484375
116,116,0.011562315344142137,0.65625
4,4,0.011571169526943906,0.6640625
124,124,0.01158453786027723,0.671875
60,60,0.011621788094142145,0.6796875
67,66,0.011625381193610573,0.6875
82,82,0.011628645117076017,0.6953125
119,119,0.011637526693610538,0.703125
7,6,0.011651485094142154,0.7109375
76,76,0.011658606594142184,0.71875
77,77,0.011666103193610614,0.7265625
117,117,0.011714205193610501,0.734375
8,10,0.011771988443610493,0.7421875
61,61,0.01177796794361048,0.75
54,54,0.01181259559414209,0.7578125
108,108,0.011905114117075963,0.765625
39,39,0.011936922893669965,0.7734375
75,75,0.012033856117075973,0.78125
91,91,0.012084334499937182,0.7890625
56,56,0.01215238374993722,0.796875
90,89,0.012255901326471785,0.8046875
52,52,0.012289816380740696,0.8125
14,14,0.012346095047407371,0.8203125
81,80,0.012367586083270588,0.828125
55,55,0.012370500326471743,0.8359375
107,107,0.012375668833270528,0.84375
89,87,0.012399637893670008,0.8515625
104,104,0.012433915153006271,0.859375
74,74,0.012456866833270514,0.8671875
79,79,0.012543703076471714,0.875
46,46,0.012557722283742674,0.8828125
106,105,0.012563543826471802,0.890625
78,78,0.012597415143669933,0.8984375
72,72,0.01261243189366995,0.90625
73,73,0.012620133159805084,0.9140625
51,51,0.012675854894405501,0.921875
10,9,0.012789666840136478,0.9296875
13,11,0.012797959596935343,0.9375
43,43,0.012950262749937182,0.9453125
9,8,0.012965061907334692,0.953125
50,49,0.013010925477738923,0.9609375
41,41,0.013131040076471756,0.96875
40,40,0.013317684977003275,0.9765625
42,42,0.013350034472997731,0.984375
47,45,0.013502335443933347,0.9921875
44,44,0.013636945076794582,1.0
