,Request Id,request_e2e_time,cdf
25,25,5.354346948989686,0.0078125
32,32,5.354346948989686,0.015625
21,21,5.354346948989878,0.0234375
0,0,5.35434694899009,0.03125
35,35,5.354346948990589,0.0390625
37,37,5.354346948990596,0.046875
38,38,5.354346948990596,0.0546875
49,50,5.354346948990596,0.0625
57,57,5.354346948990596,0.0703125
58,58,5.354346948990596,0.078125
63,63,5.354346948990596,0.0859375
66,67,5.354346948990596,0.09375
70,70,5.354346948990596,0.1015625
71,71,5.354346948990596,0.109375
83,83,5.354346948992401,0.1171875
84,84,5.354346948992401,0.125
85,85,5.354346948992401,0.1328125
86,86,5.354346948992401,0.140625
95,95,5.354346948992401,0.1484375
96,96,5.354346948992401,0.15625
97,97,5.354346948992401,0.1640625
99,99,5.354346948992401,0.171875
102,102,5.354346948992401,0.1796875
109,109,5.354346948992401,0.1875
110,110,5.354346948992401,0.1953125
112,112,5.354346948992401,0.203125
115,115,5.354346948992401,0.2109375
123,123,5.354346948992401,0.21875
127,127,5.354346948992401,0.2265625
18,18,5.407192764482307,0.234375
36,36,5.430598764617514,0.2421875
53,53,5.441906634274915,0.25
114,114,5.449680168469428,0.2578125
6,7,5.461307393622091,0.265625
28,28,5.512041678562284,0.2734375
11,12,5.522243222842453,0.28125
120,120,5.561219806452499,0.2890625
20,20,5.566373169223201,0.296875
98,98,5.571709249509894,0.3046875
105,106,5.581987758826756,0.3125
16,16,5.583829251360733,0.3203125
27,27,5.587525356175647,0.328125
31,31,5.619634765421935,0.3359375
17,17,5.620757825509266,0.34375
29,29,5.623995628175706,0.3515625
118,118,5.630471233509894,0.359375
125,125,5.630620424586567,0.3671875
80,81,5.635369272486599,0.375
103,103,5.6547547535094225,0.3828125
59,59,5.654783026366019,0.390625
48,48,5.654930497346214,0.3984375
68,68,5.703113448362359,0.40625
92,92,5.704029220489076,0.4140625
122,122,5.704447766841412,0.421875
3,3,5.720085023159958,0.4296875
45,47,5.727216748175977,0.4375
26,26,5.730990319398941,0.4453125
111,111,5.746592833507208,0.453125
69,69,5.755046827080278,0.4609375
64,64,5.757885402867856,0.46875
2,2,5.761034032200726,0.4765625
126,126,5.771315392510047,0.484375
88,90,5.7805769621351715,0.4921875
23,23,5.7809127640598135,0.5
65,65,5.783829100176092,0.5078125
1,1,5.8002865295090835,0.515625
12,13,5.802927051141161,0.5234375
121,121,5.807302718127147,0.53125
94,94,5.809637031430697,0.5390625
24,24,5.811303702842743,0.546875
33,33,5.816455190842596,0.5546875
101,101,5.828646202170063,0.5625
62,62,5.8292457585261985,0.5703125
100,100,5.833759004331796,0.578125
19,19,5.838535338691653,0.5859375
113,113,5.849158441360629,0.59375
5,5,5.854936365373648,0.6015625
22,22,5.871894849509545,0.609375
87,88,5.872682092172823,0.6171875
93,93,5.88945137217263,0.625
30,30,5.891527950314966,0.6328125
34,34,5.8963657693144285,0.640625
15,15,5.904534992496089,0.6484375
116,116,5.919905456200041,0.65625
4,4,5.92475236631236,0.6640625
124,124,5.935648743810731,0.671875
60,60,5.950355504200857,0.6796875
82,82,5.955856240322049,0.6875
67,66,5.959227047619919,0.6953125
119,119,5.964777155365937,0.703125
7,6,5.965560368200691,0.7109375
76,76,5.969206576199014,0.71875
77,77,5.977890225566739,0.7265625
117,117,6.004256629297373,0.734375
61,61,6.031076850412603,0.7421875
8,10,6.036501697388374,0.75
54,54,6.048048944200957,0.7578125
108,108,6.106390849235197,0.765625
39,39,6.111704521559346,0.7734375
75,75,6.166768721650925,0.78125
91,91,6.194774509476844,0.7890625
56,56,6.227266762888249,0.796875
90,89,6.2830672014461015,0.8046875
52,52,6.3030514870793155,0.8125
14,14,6.32904883759814,0.8203125
81,80,6.334469074304593,0.828125
55,55,6.336681786881783,0.8359375
107,107,6.3395990328443474,0.84375
89,87,6.348614601558609,0.8515625
104,104,6.372733722296175,0.859375
74,74,6.3821925282701955,0.8671875
79,79,6.422523008518709,0.875
46,46,6.438339343122735,0.8828125
106,105,6.441526757819133,0.890625
78,78,6.4498765535578,0.8984375
72,72,6.457565129557167,0.90625
73,73,6.463260949120297,0.9140625
51,51,6.494514945597913,0.921875
13,11,6.5576209867679065,0.9296875
43,43,6.637795624013378,0.9375
9,8,6.638111696555303,0.9453125
10,9,6.6423028007082685,0.953125
50,49,6.671860451858791,0.9609375
41,41,6.7837711716144184,0.96875
40,40,6.818654708227186,0.9765625
42,42,6.835802760582908,0.984375
47,45,6.916521441212581,0.9921875
44,44,6.9826748992424115,1.0
